|chapter|sec|no|content|lang
76|2|15|15|我們這生來的猶太人，不是外邦的罪人；|zh
77|2|15|15|We being Jews by birth, and not sinners of the Gentiles,|en
78|2|16|16|既知道人稱義不是因行律法，乃是因信耶穌基督，連我們也信了基督耶穌，使我們因信基督稱義，不因行律法稱義；因為凡有血氣的，沒有一人因行律法稱義。|zh
79|2|16|16|Being conscious that a man does not get righteousness by the works of the law, but through faith in Jesus Christ, we had faith in Christ Jesus, so that we might get righteousness by faith in Christ, and not by the works of the law: because by the works of the law will no flesh get righteousness.|en
80|2|17|17|我們若求在基督裡稱義，卻仍舊是罪人，難道基督是叫人犯罪的麼？斷乎不是！|zh
81|2|17|17|But if, while we were desiring to get righteousness through Christ, we ourselves were seen to be sinners, is Christ a servant of sin? In no way!|en
82|2|18|18|我素來所拆毀的，若重新建造，這就證明自己是犯罪的人。|zh
83|2|18|18|For if I put up again those things which I gave to destruction, I am seen to be a wrongdoer.|en
84|2|19|19|我因律法，就向律法死了，叫我可以向神活著。|zh
85|2|19|19|For I, through the law, have become dead to the law, so that I might be living to God.|en
86|2|20|20|我已經與基督同釘十字架，現在活著的不再是我，乃是基督在我裡面活著；並且我如今在肉身活著，是因信神的兒子而活；他是愛我，為我捨己。|zh
87|2|20|20|I have been put to death on the cross with Christ; still I am living; no longer I, but Christ is living in me; and that life which I now am living in the flesh I am living by faith, the faith of the Son of God, who in love for me, gave himself up for me.|en
88|2|21|21|我不廢掉神的恩；義若是藉著律法得的，基督就是徒然死了。|zh
89|2|21|21|I do not make the grace of God of no effect: because if righteousness is through the law, then Christ was put to death for nothing.|en
90|3|1|1|無知的加拉太人哪，耶穌基督釘十字架，已經活畫在你們眼前，誰又迷惑了你們呢？|zh
91|3|1|1|O foolish Galatians, by what strange powers have you been tricked, to whom it was made clear that Jesus Christ was put to death on the cross?|en
92|3|2|2|我只要問你們這一件：你們受了聖靈，是因行律法呢？是因聽信福音呢？|zh
93|3|2|2|Give me an answer to this one question, Did the Spirit come to you through the works of the law, or by the hearing of faith?|en
94|3|3|3|你們既靠聖靈入門，如今還靠肉身成全麼？你們是這樣的無知麼？|zh
95|3|3|3|Are you so foolish? having made a start in the Spirit, will you now be made complete in the flesh?|en
96|3|4|4|你們受苦如此之多，都是徒然的麼？難道果真是徒然的麼？|zh
97|3|4|4|Did you undergo such a number of things to no purpose? if it is in fact to no purpose.|en
98|3|5|5|那賜給你們聖靈，又在你們中間行異能的，是因你們行律法呢？是因你們聽信福音呢？|zh
99|3|5|5|He who gives you the Spirit, and does works of power among you, is it by the works of law, or by the hearing of faith?|en
100|3|6|6|正如亞伯拉罕信神，這就算為他的義。|zh
101|3|6|6|Even as Abraham had faith in God, and it was put to his account as righteousness.|en
102|3|7|7|所以，你們要知道：那以信為本的人，就是亞伯拉罕的子孫。|zh
103|3|7|7|Be certain, then, that those who are of faith, the same are sons of Abraham.|en
104|3|8|8|並且聖經既然預先看明，神要叫外邦人因信稱義，就早已傳福音給亞伯拉罕，說：萬國都必因你得福。|zh
105|3|8|8|And the holy Writings, seeing before the event that God would give the Gentiles righteousness by faith, gave the good news before to Abraham, saying, In you will all the nations have a blessing.|en
106|3|9|9|可見那以信為本的人和有信心的亞伯拉罕一同得福。|zh
107|3|9|9|So then those who are of faith have a part in the blessing of Abraham who was full of faith.|en
108|3|10|10|凡以行律法為本的，都是被咒詛的；因為經上記著：凡不常照律法書上所記一切之事去行的，就被咒詛。|zh
109|3|10|10|For all who are of the works of the law are under a curse: because it is said in the Writings, A curse is on everyone who does not keep on doing all the things which are ordered in the book of the law.|en
110|3|11|11|沒有一個人靠著律法在神面前稱義，這是明顯的；因為經上說，義人必因信得生。|zh
111|3|11|11|Now that no man gets righteousness by the law in the eyes of God, is clear; because, The upright will be living by faith.|en
112|3|12|12|律法原不本乎信，只說：行這些事的，就必因此活著。|zh
113|3|12|12|And the law is not of faith; but, He who does them will have life by them.|en
114|3|13|13|基督既為我們受（原文是成）了咒詛，就贖出我們脫離律法的咒詛；因為經上記著：凡掛在木頭上都是被咒詛的。|zh
115|3|13|13|Christ has made us free from the curse of the law, having become a curse for us: because it is said in the Writings, A curse on everyone who is put to death by hanging on a tree:|en
116|3|14|14|這便叫亞伯拉罕的福，因基督耶穌可以臨到外邦人，使我們因信得著所應許的聖靈。|zh
117|3|14|14|So that on the Gentiles might come the blessing of Abraham in Christ Jesus; in order that we through faith might have the Spirit which God had undertaken to give.|en
118|3|15|15|弟兄們，我且照著人的常話說：雖然是人的文約，若已經立定了，就沒有能廢棄或加增的。|zh
119|3|15|15|Brothers, as men would say, even a man's agreement, when it has been made certain, may not be put on one side, or have additions made to it.|en
120|3|16|16|所應許的原是向亞伯拉罕和他子孫說的。神並不是說眾子孫，指著許多人，乃是說你那一個子孫，指著一個人，就是基督。|zh
121|3|16|16|Now to Abraham were the undertakings given, and to his seed. He says not, And to seeds, as of a great number; but as of one, he says, And to your seed, which is Christ.|en
122|3|17|17|我是這麼說，神預先所立的約，不能被那四百三十年以後的律法廢掉，叫應許歸於虛空。|zh
123|3|17|17|Now this I say: The law, which came four hundred and thirty years after, does not put an end to the agreement made before by God, so as to make the undertaking without effect.|en
124|3|18|18|因為承受產業，若本乎律法，就不本乎應許；但神是憑著應許把產業賜給亞伯拉罕。|zh
125|3|18|18|Because if the heritage is by the law, it is no longer dependent on the word of God; but God gave it to Abraham by his word.|en
126|3|19|19|這樣說來，律法是為甚麼有的呢？原是為過犯添上的，等候那蒙應許的子孫來到，並且是藉天使經中保之手設立的。|zh
127|3|19|19|What then is the law? It was an addition made because of sin, till the coming of the seed to whom the undertaking had been given; and it was ordered through angels by the hand of a go-between.|en
128|3|20|20|但中保本不是為一面作的；神卻是一位。|zh
129|3|20|20|Now a go-between is not a go-between of one; but God is one.|en
130|3|21|21|這樣，律法是與神的應許反對麼？斷乎不是！若曾傳一個能叫人得生的律法，義就誠然本乎律法了。|zh
131|3|21|21|Is the law then against the words of God? in no way; because if there had been a law which was able to give life, truly righteousness would have been by the law.|en
132|3|22|22|但聖經把眾人都圈在罪裡，使所應許的福因信耶穌基督，歸給那信的人。|zh
133|3|22|22|However, the holy Writings have put all things under sin, so that that for which God gave the undertaking, based on faith in Jesus Christ, might be given to those who have such faith.|en
134|3|23|23|但這因信得救的理還未來以先，我們被看守在律法之下，直圈到那將來的真道顯明出來。|zh
135|3|23|23|But before faith came, we were kept in prison under the law, waiting for the revelation of the faith which was to come.|en
136|3|24|24|這樣，律法是我們訓蒙的師傅，引我們到基督那裡，使我們因信稱義。|zh
137|3|24|24|So the law has been a servant to take us to Christ, so that we might have righteousness by faith.|en
138|3|25|25|但這因信得救的理既然來到，我們從此就不在師傅的手下了。|zh
139|3|25|25|But now that faith is come, we are no longer under a servant.|en
140|3|26|26|所以，你們因信基督耶穌都是神的兒子。|zh
141|3|26|26|Because you are all sons of God through faith in Christ Jesus.|en
142|3|27|27|你們受洗歸入基督的都是披戴基督了。|zh
143|3|27|27|For all those of you who were given baptism into Christ did put on Christ.|en
144|3|28|28|並不分猶太人、希利尼人，自主的、為奴的，或男或女，因為你們在基督耶穌裡都成為一了。|zh
145|3|28|28|There is no Jew or Greek, servant or free, male or female: because you are all one in Jesus Christ.|en
146|3|29|29|你們既屬乎基督，就是亞伯拉罕的後裔，是照著應許承受產業的了。|zh
147|3|29|29|And if you are Christ's, then you are Abraham's seed, and yours is the heritage by the right of God's undertaking given to Abraham.|en
148|4|1|1|我說那承受產業的，雖然是全業的主人，但為孩童的時候卻與奴僕毫無分別，|zh
149|4|1|1|But I say that as long as the son is a child, he is in no way different from a servant, though he is lord of all;|en
150|4|2|2|乃在師傅和管家的手下，直等他父親預定的時候來到。|zh
151|4|2|2|But is under keepers and managers till the time fixed by the father.|en
152|4|3|3|我們為孩童的時候，受管於世俗小學之下，也是如此。|zh
153|4|3|3|So we, when we were young, were kept under the first rules of the world;|en
154|4|4|4|及至時候滿足，神就差遣他的兒子，為女子所生，且生在律法以下，|zh
155|4|4|4|But when the time had come, God sent out his Son, made of a woman, made under the law,|en
156|4|5|5|要把律法以下的人贖出來，叫我們得著兒子的名分。|zh
157|4|5|5|That he might make them free who were under the law, and that we might be given the place of sons.|en
158|4|6|6|你們既為兒子，神就差他兒子的靈進入你們（原文作我們）的心，呼叫：阿爸！父！|zh
159|4|6|6|And because you are sons, God has sent out the Spirit of his Son into our hearts, saying, Abba, Father.|en
160|4|7|7|可見，從此以後，你不是奴僕，乃是兒子了；既是兒子，就靠著神為後嗣。|zh
161|4|7|7|So that you are no longer a servant, but a son; and if a son, then the heritage of God is yours.|en
162|4|8|8|但從前你們不認識神的時候，是給那些本來不是神的作奴僕；|zh
163|4|8|8|But at that time, having no knowledge of God, you were servants to those who by right are no gods:|en
164|4|9|9|現在你們既然認識神，更可說是被神所認識的，怎麼還要歸回那懦弱無用的小學，情願再給他作奴僕呢？|zh
165|4|9|9|But now that you have come to have knowledge of God, or more truly, God has knowledge of you, how is it that you go back again to the poor and feeble first things, desiring to be servants to them again?|en
166|4|10|10|你們謹守日子、月分、節期、年分。|zh
167|4|10|10|You keep days, and months, and fixed times, and years.|en
168|4|11|11|我為你們害怕、惟恐我在你們身上是枉費了工夫。|zh
169|4|11|11|I am in fear of you, that I may have been working for you to no purpose.|en
170|4|12|12|弟兄們，我勸你們要像我一樣，因為我也像你們一樣。你們一點沒有虧負我。|zh
171|4|12|12|My desire for you, brothers, is that you may be as I am, because I am as you are. You have done me no wrong;|en
172|4|13|13|你們知道我頭一次傳福音給你們，是因為身體有疾病。|zh
173|4|13|13|But you have knowledge that with a feeble body I was preaching the good news to you the first time;|en
174|4|14|14|你們為我身體的緣故受試煉，沒有輕看我，也沒有厭棄我，反倒接待我，如同神的使者，如同基督耶穌。|zh
175|4|14|14|And you did not have a poor opinion of me because of the trouble in my flesh, or put shame on it; but you took me to your hearts as an angel of God, even as Christ Jesus.|en
176|4|15|15|你們當日所誇的福氣在那裡呢？那時你們若能行，就是把自己的眼睛剜出來給我，也都情願。這是我可以給你們作見證的。|zh
177|4|15|15|Where then is that happy condition of yours? because I give you witness, that, if possible, you would have taken out your eyes and given them to me.|en
178|4|16|16|如今我將真理告訴你們，就成了你們的仇敵麼？|zh
179|4|16|16|So then am I no longer your friend, because I give you true words?|en
180|4|17|17|那些人熱心待你們，卻不是好意，是要離間你們（原文是把你們關在外面），叫你們熱心待他們。|zh
181|4|17|17|Their interest in you is not good; but their desire is that you may be shut out, so that you may go after them.|en
182|4|18|18|在善事上，常用熱心待人原是好的，卻不單我與你們同在的時候才這樣。|zh
