|chapter|sec|no|content|lang
60|1|31|31|耶穌進前拉著他的手，扶他起來，熱就退了，他就服事他們。|zh
61|1|31|31|And he came and took her by the hand, lifting her up; and she became well, and took care of their needs.|en
62|1|32|32|天晚日落的時候，有人帶著一切害病的，和被鬼附的，來到耶穌跟前。|zh
63|1|32|32|And in the evening, at sundown, they took to him all who were diseased, and those who had evil spirits.|en
64|1|33|33|合城的人都聚集在門前。|zh
65|1|33|33|And all the town had come together at the door.|en
66|1|34|34|耶穌治好了許多害各樣病的人，又趕出許多鬼，不許鬼說話，因為鬼認識他。|zh
67|1|34|34|And a number, who were ill with different diseases, he made well, and sent out evil spirits; but he did not let the evil spirits say anything, because they had knowledge of him.|en
68|1|35|35|次日早晨，天未亮的時候，耶穌起來，到曠野地方去，在那裡禱告。|zh
69|1|35|35|And in the morning, a long time before daylight, he got up and went out to a quiet place, and there he gave himself up to prayer.|en
70|1|36|36|西門和同伴追了他去，|zh
71|1|36|36|And Simon and those who were with him came after him.|en
72|1|37|37|遇見了就對他說：眾人都找你。|zh
73|1|37|37|And when they came up with him, they said to him, Everyone is looking for you.|en
74|1|38|38|耶穌對他們說：我們可以往別處去，到鄰近的鄉村，我也好在那裡傳道，因為我是為這事出來的。|zh
75|1|38|38|And he said to them, Let us go to other parts into the nearest towns, so that I may give teaching there, because for this purpose I came.|en
76|1|39|39|於是在加利利全地，進了會堂，傳道，趕鬼。|zh
77|1|39|39|And he went into their Synagogues in every part of Galilee, preaching and driving out evil spirits.|en
78|1|40|40|有一個長大痲瘋的來求耶穌，向他跪下，說：你若肯，必能叫我潔淨了。|zh
79|1|40|40|And a leper came to him and, going down on his knees before him, made a request, saying, If it is your pleasure, you have the power to make me clean.|en
80|1|41|41|耶穌動了慈心，就伸手摸他，說：我肯，你潔淨了罷！|zh
81|1|41|41|And being moved with pity, he put out his hand, and touching him said to him, It is my pleasure; be made clean.|en
82|1|42|42|大痲瘋即時離開他，他就潔淨了。|zh
83|1|42|42|And straight away the disease went from him, and he was made clean.|en
84|1|43|43|耶穌嚴嚴的囑咐他，就打發他走，|zh
85|1|43|43|And he sent him away, saying to him very sharply,|en
86|1|44|44|對他說：你要謹慎，甚麼話都不可告訴人，只要去把身體給祭司察看，又因為你潔淨了，獻上摩西所吩咐的禮物，對眾人作證據。|zh
87|1|44|44|See that you say nothing to any man: but go and let the priest see you, and make yourself clean by an offering of the things ordered by Moses, for a witness to them.|en
88|1|45|45|那人出去，倒說許多的話，把這件事傳揚開了，叫耶穌以後不得再明明的進城，只好在外邊曠野地方。人從各處都就了他來。|zh
89|1|45|45|But he went out, and made it public, giving an account of it everywhere, so that Jesus was no longer able to go openly into a town, but was outside in the waste land; and they came to him from every part.|en
90|2|1|1|過了些日子，耶穌又進了迦百農。人聽見他在房子裡，|zh
91|2|1|1|And when he came into Capernaum again after some days, the news went about that he was in the house.|en
92|2|2|2|就有許多人聚集，甚至連門前都沒有空地；耶穌就對他們講道。|zh
93|2|2|2|And a great number had come together, so that there was no longer room for them, no, not even about the door: and he gave them teaching.|en
94|2|3|3|有人帶著一個癱子來見耶穌，是用四個人抬來的；|zh
95|2|3|3|And four men came to him with one on a bed who had no power of moving.|en
96|2|4|4|因為人多，不得近前，就把耶穌所在的房子，拆了房頂，既拆通了，就把癱子連所躺臥的褥子都縋下來。|zh
97|2|4|4|And when they were unable to get near him because of all the people, they got the roof uncovered where he was: and when it was broken up, they let down the bed on which the man was.|en
98|2|5|5|耶穌見他們的信心，就對癱子說：小子，你的罪赦了。|zh
99|2|5|5|And Jesus, seeing their faith, said to him, Son, you have forgiveness for your sins.|en
100|2|6|6|有幾個文士坐在那裡，心裡議論，說：|zh
101|2|6|6|But there were certain of the scribes seated there, and reasoning in their hearts,|en
102|2|7|7|這個人為甚麼這樣說呢？他說僭妄的話了。除了神以外，誰能赦罪呢？|zh
103|2|7|7|Why does this man say such things? he has no respect for God: from whom does forgiveness come but from God only?|en
104|2|8|8|耶穌心中知道他們心裡這樣議論，就說：你們心裡為甚麼這樣議論呢？|zh
105|2|8|8|And Jesus, having knowledge in his spirit of their thoughts, said to them, Why are you reasoning about these things in your hearts?|en
106|2|9|9|或對癱子說你的罪赦了，或說起來！拿你的褥子行走；那一樣容易呢？|zh
107|2|9|9|Which is the simpler, to say to a man who is ill, You have forgiveness for your sins, or, Get up, take up your bed, and go?|en
108|2|10|10|但要叫你們知道，人子在地上有赦罪的權柄。就對癱子說：|zh
109|2|10|10|But so that you may see that the Son of man has authority for the forgiveness of sins on earth, (he said to the man,)|en
110|2|11|11|我吩咐你，起來！拿你的褥子回家去罷。|zh
111|2|11|11|I say to you, Get up, take up your bed, and go to your house.|en
112|2|12|12|那人就起來，立刻拿著褥子，當眾人面前出去了，以致眾人都驚奇，歸榮耀與神，說：我們從來沒有見過這樣的事！|zh
113|2|12|12|And he got up, and straight away took up the bed and went out before them all, so that they were all full of wonder, and gave glory to God, saying, We have never seen anything like this.|en
114|2|13|13|耶穌又出到海邊去，眾人都就了他來，他便教訓他們。|zh
115|2|13|13|And he went out again by the seaside; and all the people came to him, and he gave them teaching.|en
116|2|14|14|耶穌經過的時候，看見亞勒腓的兒子利未坐在稅關上，就對他說：你跟從我來。他就起來，跟從了耶穌。|zh
117|2|14|14|And when he went by, he saw Levi, the son of Alphaeus, seated at the place where taxes were taken, and he said to him, Come with me. And he got up, and went with him.|en
118|2|15|15|耶穌在利未家裡坐席的時候，有好些稅吏和罪人與耶穌並門徒一同坐席；因為這樣的人多，他們也跟隨耶穌。|zh
119|2|15|15|And it came about that he was seated at meat in his house, and a number of tax-farmers and sinners were at table with Jesus and his disciples: for there were a great number of them, and they came after him.|en
120|2|16|16|法利賽人中的文士（有古卷：文士和法利賽人）看見耶穌和罪人並稅吏一同吃飯，就對他門徒說：他和稅吏並罪人一同吃喝麼？|zh
121|2|16|16|And the scribes of the Pharisees, when they saw that he was taking food with the tax-farmers and sinners, said to his disciples, Why does he take food and drink with such men?|en
122|2|17|17|耶穌聽見，就對他們說：康健的人用不著醫生，有病的人才用得著。我來本不是召義人，乃是召罪人。|zh
123|2|17|17|And Jesus, hearing it, said to them, Those who are well have no need of a medical man, but those who are ill: I have come not to get the upright but sinners.|en
124|2|18|18|當下，約翰的門徒和法利賽人禁食。他們來問耶穌說：約翰的門徒和法利賽人的門徒禁食，你的門徒倒不禁食，這是為甚麼呢？|zh
125|2|18|18|And John's disciples and the Pharisees were taking no food: and they came and said to him, Why do John's disciples and the disciples of the Pharisees go without food, but your disciples do not?|en
126|2|19|19|耶穌對他們說：新郎和陪伴之人同在的時候，陪伴之人豈能禁食呢？新郎還同在，他們不能禁食。|zh
127|2|19|19|And Jesus said to them, Will the friends of a newly-married man go without food while he is with them? as long as they have him with them they will not go without food.|en
128|2|20|20|但日子將到，新郎要離開他們，那日他們就要禁食。|zh
129|2|20|20|But the days will come when the husband will be taken away from them, and then they will go without food.|en
130|2|21|21|沒有人把新布縫在舊衣服上，恐怕所補上的新布帶壞了舊衣服，破的就更大了。|zh
131|2|21|21|No man puts a bit of new cloth on an old coat: or the new, by pulling away from the old, makes a worse hole.|en
132|2|22|22|也沒有人把新酒裝在舊皮袋裡，恐怕酒把皮袋裂開，酒和皮袋就都壞了；惟把新酒裝在新皮袋裡。|zh
133|2|22|22|And no man puts new wine into old wine-skins: or the skins will be burst by the wine, and the wine and the skins will be wasted: but new wine has to be put into new wine-skins.|en
134|2|23|23|耶穌當安息日從麥地經過。他門徒行路的時候，掐了麥穗。|zh
135|2|23|23|And it came about that on the Sabbath day he was going through the grain-fields; and while they were walking, his disciples took the heads of grain.|en
136|2|24|24|法利賽人對耶穌說：看哪，他們在安息日為甚麼做不可做的事呢？|zh
137|2|24|24|And the Pharisees said to him, Why are they doing what it is not right to do on the Sabbath?|en
138|2|25|25|耶穌對他們說：經上記著大衛和跟從他的人缺乏飢餓之時所做的事，你們沒有念過麼？|zh
139|2|25|25|And he said to them, Have you no knowledge of what David did, when he had need and was without food, he, and those who were with him?|en
140|2|26|26|他當亞比亞他作大祭司的時候，怎麼進了神的殿，吃了陳設餅，又給跟從他的人吃。這餅除了祭司以外，人都不可吃。|zh
141|2|26|26|How he went into the house of God when Abiathar was high priest, and took for food the holy bread, which only the priests may take, and gave it to those who were with him?|en
142|2|27|27|又對他們說：安息日是為人設立的，人不是為安息日設立的。|zh
143|2|27|27|And he said to them, The Sabbath was made for man, and not man for the Sabbath;|en
144|2|28|28|所以，人子也是安息日的主。|zh
145|2|28|28|So that the Son of man is lord even of the Sabbath.|en
146|3|1|1|耶穌又進了會堂，在那裡有一個人枯乾了一隻手。|zh
147|3|1|1|And he went again into the Synagogue; and there was a man there whose hand was dead.|en
148|3|2|2|眾人窺探耶穌，在安息日醫治不醫治，意思是要控告耶穌。|zh
149|3|2|2|And they were watching him to see if he would make him well on the Sabbath day, so that they might have something against him.|en
150|3|3|3|耶穌對那枯乾一隻手的人說：起來，站在當中。|zh
151|3|3|3|And he said to the man, Get up and come forward.|en
152|3|4|4|又問眾人說：在安息日行善行惡，救命害命，那樣是可以的呢？他們都不作聲。|zh
153|3|4|4|And he said to them, Is it right to do good on the Sabbath or to do evil? to give life or to put to death? But they said nothing.|en
154|3|5|5|耶穌怒目周圍看他們，憂愁他們的心剛硬，就對那人說：伸出手來！他把手一伸，手就復了原。|zh
155|3|5|5|And looking round on them he was angry, being sad because of their hard hearts; and he said to the man, Put out your hand. And he put it out, and his hand was made well.|en
156|3|6|6|法利賽人出去，同希律一黨的人商議怎樣可以除滅耶穌。|zh
157|3|6|6|And the Pharisees went out, and straight away made designs with the Herodians about how they might put him to death.|en
158|3|7|7|耶穌和門徒退到海邊去，有許多人從加利利跟隨他。|zh
159|3|7|7|And Jesus went away with his disciples to the sea, and a great number from Galilee came after him: and from Judaea,|en
160|3|8|8|還有許多人聽見他所做的大事，就從猶太、耶路撒冷、以土買、約但河外，並推羅、西頓的四方來到他那裡。|zh
161|3|8|8|And from Jerusalem, and from Idumaea, and the other side of Jordan, and the country about Tyre and Sidon, a great number, hearing what great things he did, came to him.|en
162|3|9|9|他因為人多，就吩咐門徒叫一隻小船伺候著，免得眾人擁擠他。|zh
163|3|9|9|And he made a request to his disciples to have a little boat ready for him, so that he might not be crushed by the people;|en
164|3|10|10|他治好了許多人，所以凡有災病的，都擠進來要摸他。|zh
165|3|10|10|For he had made such a great number well that all those who were diseased were falling down before him for the purpose of touching him.|en
166|3|11|11|污鬼無論何時看見他，就俯伏在他面前，喊著說：你是神的兒子。|zh
167|3|11|11|And the unclean spirits, whenever they saw him, went down before him, crying out, and saying, You are the Son of God.|en
168|3|12|12|耶穌再三的囑咐他們，不要把他顯露出來。|zh
169|3|12|12|And he gave them special orders not to say who he was.|en
170|3|13|13|耶穌上了山，隨自己的意思叫人來；他們便來到他那裡。|zh
171|3|13|13|And he went up into the mountain, and sent for those whom it was his pleasure to have with him: and they went to him.|en
172|3|14|14|他就設立十二個人，要他們常和自己同在，也要差他們去傳道，|zh
173|3|14|14|And he took twelve to be with him, so that he might send them out as preachers,|en
174|3|15|15|並給他們權柄趕鬼。|zh
175|3|15|15|And give them the power of driving out evil spirits:|en
176|3|16|16|這十二個人有西門─耶穌又給他起名叫彼得，|zh
177|3|16|16|To Simon he gave the second name of Peter;|en
178|3|17|17|還有西庇太的兒子雅各和雅各的兄弟約翰，又給這兩個人起名叫半尼其，就是雷子的意思，|zh
179|3|17|17|And to James, the son of Zebedee, and John, the brother of James, he gave the second name of Boanerges, which is, Sons of thunder:|en
180|3|18|18|又有安得烈、腓力、巴多羅買、馬太、多馬、亞勒腓的兒子雅各、和達太，並奮銳黨的西門；|zh
181|3|18|18|And Andrew, and Philip, and Bartholomew, and Matthew, and Thomas, and James, the son of Alphaeus, and Thaddaeus, and Simon the Zealot;|en
182|3|19|19|還有賣耶穌的加略人猶大。|zh
183|3|19|19|And Judas Iscariot, who was false to him.|en
184|3|20|20|耶穌進了一個屋子，眾人又聚集，甚至他連飯也顧不得吃。|zh
185|3|20|20|And he went into a house. And the people came together again, so that they were not even able to take bread.|en
186|3|21|21|耶穌的親屬聽見，就出來要拉住他，因為他們說他癲狂了。|zh
187|3|21|21|And when his friends had news of it, they went out to get him, saying, He is off his head.|en
188|3|22|22|從耶路撒冷下來的文士說：他是被別西卜附著；又說：他是靠著鬼王趕鬼。|zh
189|3|22|22|And the scribes who came down from Jerusalem, said, He has Beelzebub, and, By the ruler of evil spirits he sends evil spirits out of men.|en
190|3|23|23|耶穌叫他們來，用比喻對他們說：撒但怎能趕出撒但呢？|zh
191|3|23|23|And turning to them, he said to them in the form of a story, How is it possible for Satan to put out Satan?|en
192|3|24|24|若一國自相分爭，那國就站立不住；|zh
193|3|24|24|If there is division in a kingdom, that kingdom will come to destruction;|en
194|3|25|25|若一家自相分爭，那家就站立不住。|zh
195|3|25|25|And if there is division in a house, that house will come to destruction;|en
196|3|26|26|若撒但自相攻打分爭，他就站立不住，必要滅亡。|zh
197|3|26|26|And if Satan is at war with himself, and there is division in him, he will not keep his place but will come to an end.|en
198|3|27|27|沒有人能進壯士家裡，搶奪他的家具；必先捆住那壯士，才可以搶奪他的家。|zh
199|3|27|27|But no one is able to go into the house of the strong man and take his goods, without first putting cords round the strong man, and then he will take his goods.|en
200|3|28|28|我實在告訴你們，世人一切的罪和一切褻瀆的話都可得赦免；|zh
201|3|28|28|Truly, I say to you, The sons of men will have forgiveness for all their sins and for all the evil words they say:|en
202|3|29|29|凡褻瀆聖靈的，卻永不得赦免，乃要擔當永遠的罪。|zh
203|3|29|29|But whoever says evil things against the Holy Spirit will never have forgiveness, but the evil he has done will be with him for ever:|en
204|3|30|30|這話是因為他們說：他是被污鬼附著的。|zh
205|3|30|30|Because they said, He has an unclean spirit.|en
206|3|31|31|當下，耶穌的母親和弟兄來，站在外邊，打發人去叫他。|zh
207|3|31|31|And his mother and brothers came and were outside, and sent for him, requesting to see him.|en
208|3|32|32|有許多人在耶穌周圍坐著，他們就告訴他說：看哪，你母親和你弟兄在外邊找你。|zh
209|3|32|32|And a great number were seated round him; and they said to him, See, your mother and your brothers are outside looking for you.|en
210|3|33|33|耶穌回答說：誰是我的母親？誰是我的弟兄？|zh
211|3|33|33|And he said in answer, Who are my mother and my brothers?|en
212|3|34|34|就四面觀看那周圍坐著的人，說：看哪，我的母親，我的弟兄。|zh
213|3|34|34|And looking round at those who were seated about him, he said, See, my mother and my brothers!|en
214|3|35|35|凡遵行神旨意的人就是我的弟兄姐妹和母親了。|zh
215|3|35|35|Whoever does God's pleasure, the same is my brother, and sister, and mother.|en
216|4|1|1|耶穌又在海邊教訓人。有許多人到他那裡聚集，他只得上船坐下。船在海裡，眾人都靠近海，站在岸上。|zh
217|4|1|1|And again he was teaching by the seaside. And a very great number of people had come to him, so that he got into a boat on the sea and took his seat; and all the people were on the land by the seaside.|en
218|4|2|2|耶穌就用比喻教訓他們許多道理。在教訓之間，對他們說：|zh
219|4|2|2|And he gave them teaching about a number of things in the form of stories, and said to them in his teaching, Give ear:|en
220|4|3|3|你們聽阿！有一個撒種的出去撒種。|zh
221|4|3|3|A man went out to put seed in the earth:|en
222|4|4|4|撒的時候，有落在路旁的，飛鳥來吃盡了；|zh
