,Unnamed: 0,idx,abb,abb_cn,book,book_cn,chapter,sec,no1,no,chinese,english
1016,1016,1,Gen,創,Genesis,創世記,35,5,5,5,他們便起行前往。神使那周圍城邑的人都甚驚懼，就不追趕雅各的眾子了。,"So they went on their journey: and the fear of God was on the towns round about, so that they made no attack on the sons of Jacob."
1017,1017,1,Gen,創,Genesis,創世記,35,6,6,6,於是雅各和一切與他同在的人到了迦南地的路斯，就是伯特利。,"And Jacob came to Luz in the land of Canaan (which is the same as Beth-el), he and all his people."
1018,1018,1,Gen,創,Genesis,創世記,35,7,7,7,他在那裡築了一座壇，就給那地方起名叫伊勒伯特利(就是伯特利之神的意思)；因為他逃避他哥哥的時候，神在那裡向他顯現。,"And there he made an altar, naming the place El-beth-el: because it was there he had the vision of God when he was in flight from his brother."
1019,1019,1,Gen,創,Genesis,創世記,35,8,8,8,利百加的奶母底波拉死了，就葬在伯特利下邊橡樹底下；那棵樹名叫亞倫巴古。,"And Deborah, the servant who had taken care of Rebekah from her birth, came to her end, and was put to rest near Beth-el, under the holy tree: and they gave it the name of Allon-bacuth."
1020,1020,1,Gen,創,Genesis,創世記,35,9,9,9,雅各從巴旦亞蘭回來，神又向他顯現，賜福與他，,"Now when Jacob was on his way from Paddan-aram, God came to him again and, blessing him, said,"
1021,1021,1,Gen,創,Genesis,創世記,35,10,10,10,且對他說：你的名原是雅各，從今以後不要再叫雅各，要叫以色列。這樣，他就改名叫以色列。,"Jacob is your name, but it will be so no longer; from now your name will be Israel; so he was named Israel."
1022,1022,1,Gen,創,Genesis,創世記,35,11,11,11,神又對他說：我是全能的神；你要生養眾多，將來有一族和多國的民從你而生，又有君王從你而出。,"And God said to him, I am God, the Ruler of all: be fertile, and have increase; a nation, truly a group of nations, will come from you, and kings will be your offspring;"
1023,1023,1,Gen,創,Genesis,創世記,35,12,12,12,我所賜給亞伯拉罕和以撒的地，我要賜給你與你的後裔。,"And the land which I gave to Abraham and Isaac, I will give to you; and to your seed after you I will give the land."
1024,1024,1,Gen,創,Genesis,創世記,35,13,13,13,神就從那與雅各說話的地方升上去了。,Then God went up from him in the place where he had been talking with him.
1025,1025,1,Gen,創,Genesis,創世記,35,14,14,14,雅各便在那裡立了一根石柱，在柱子上奠酒，澆油。,"And Jacob put up a pillar in the place where he had been talking with God, and put a drink offering on it, and oil."
1026,1026,1,Gen,創,Genesis,創世記,35,15,15,15,雅各就給那地方起名叫伯特利。,"And he gave to the place where God had been talking with him, the name of Beth-el."
1027,1027,1,Gen,創,Genesis,創世記,35,16,16,16,他們從伯特利起行，離以法他還有一段路程，拉結臨產甚是艱難。,"So they went on from Beth-el; and while they were still some distance from Ephrath, the pains of birth came on Rachel and she had a hard time."
1028,1028,1,Gen,創,Genesis,創世記,35,17,17,17,正在艱難的時候，收生婆對他說：不要怕，你又要得一個兒子了。,"And when her pain was very great, the woman who was helping her said, Have no fear; for now you will have another son."
1029,1029,1,Gen,創,Genesis,創世記,35,18,18,18,他將近於死，靈魂要走的時候，就給他兒子起名叫便俄尼；他父親卻給他起名叫便雅憫。,"And in the hour when her life went from her (for death came to her), she gave the child the name Ben-oni: but his father gave him the name of Benjamin."
1030,1030,1,Gen,創,Genesis,創世記,35,19,19,19,拉結死了，葬在以法他的路旁；以法他就是伯利恆。,So Rachel came to her end and was put to rest on the road to Ephrath (which is Beth-lehem).
1031,1031,1,Gen,創,Genesis,創世記,35,20,20,20,雅各在他的墳上立了一統碑，就是拉結的墓碑，到今日還在。,"And Jacob put up a pillar on her resting-place; which is named, The Pillar of the resting-place of Rachel, to this day."
1032,1032,1,Gen,創,Genesis,創世記,35,21,21,21,以色列起行前往，在以得臺那邊支搭帳棚。,And Israel went journeying on and put up his tents on the other side of the tower of the flock.
1033,1033,1,Gen,創,Genesis,創世記,35,22,22,22,以色列住在那地的時候，流便去與他父親的妾辟拉同寢，以色列也聽見了。雅各共有十二個兒子。,"Now while they were living in that country, Reuben had connection with Bilhah, his father's servant-woman: and Israel had news of it."
1034,1034,1,Gen,創,Genesis,創世記,35,23,23,23,利亞所生的是雅各的長子流便，還有西緬、利未、猶大、以薩迦、西布倫。,"Now Jacob had twelve sons: the sons of Leah: Reuben, Jacob's first son, and Simeon and Levi and Judah and Issachar and Zebulun;"
1035,1035,1,Gen,創,Genesis,創世記,35,24,24,24,拉結所生的是約瑟、便雅憫。,The sons of Rachel: Joseph and Benjamin;
1036,1036,1,Gen,創,Genesis,創世記,35,25,25,25,拉結的使女辟拉所生的是但、拿弗他利。,"The sons of Bilhah, Rachel's servant: Dan and Naphtali;"
1037,1037,1,Gen,創,Genesis,創世記,35,26,26,26,利亞的使女悉帕所生的是迦得、亞設。這是雅各在巴旦亞蘭所生的兒子。,"The sons of Zilpah, Leah's servant: Gad and Asher; these are the sons whom Jacob had in Paddan-aram."
1038,1038,1,Gen,創,Genesis,創世記,35,27,27,27,雅各來到他父親以撒那裡，到了基列亞巴的幔利，乃是亞伯拉罕和以撒寄居的地方；基列亞巴就是希伯崙。,"And Jacob came to his father Isaac at Mamre, at Kiriath-arba, that is, Hebron, where Abraham and Isaac had been living."
1039,1039,1,Gen,創,Genesis,創世記,35,28,28,28,以撒共活了一百八十歲。,And Isaac was a hundred and eighty years old.
1040,1040,1,Gen,創,Genesis,創世記,35,29,29,29,以撒年紀老邁，日子滿足，氣絕而死，歸到他列祖(原文作本民)那裡。他兩個兒子以掃、雅各把他埋葬了。,"Then Isaac came to his end and was put to rest with his father's people, an old man after a long life: and Jacob and Esau, his sons, put him in his last resting-place."
1041,1041,1,Gen,創,Genesis,創世記,36,1,1,1,以掃就是以東，他的後代記在下面。,"Now these are the generations of Esau, that is to say, Edom."
1042,1042,1,Gen,創,Genesis,創世記,36,2,2,2,以掃娶迦南的女子為妻，就是赫人以倫的女兒亞大和希未人祭便的孫女、亞拿的女兒阿何利巴瑪，,"Esau's wives were women of Canaan: Adah, the daughter of Elon the Hittite, and Oholibamah, the daughter of Anah, the daughter of Zibeon the Hivite,"
1043,1043,1,Gen,創,Genesis,創世記,36,3,3,3,又娶了以實瑪利的女兒、尼拜約的妹子巴實抹。,"And Basemath, Ishmael's daughter, the sister of Nebaioth."
1044,1044,1,Gen,創,Genesis,創世記,36,4,4,4,亞大給以掃生了以利法；巴實抹生了流珥；,Adah had a son Eliphaz; and Basemath was the mother of Reuel;
1045,1045,1,Gen,創,Genesis,創世記,36,5,5,5,阿何利巴瑪生了耶烏施、雅蘭、可拉。這都是以掃的兒子，是在迦南地生的。,"Oholibamah was the mother of Jeush, Jalam, and Korah; these are the sons of Esau, whose birth took place in the land of Canaan."
1046,1046,1,Gen,創,Genesis,創世記,36,6,6,6,以掃帶著他的妻子、兒女，與家中一切的人口，並他的牛羊、牲畜，和一切貨財，就是他在迦南地所得的，往別處去，離了他兄弟雅各。,"Esau took his wives and his sons and his daughters, and all the people of his house, and his beasts and his cattle and all his goods which he had got together in the land of Canaan, and went into the land of Seir, away from his brother Jacob."
1047,1047,1,Gen,創,Genesis,創世記,36,7,7,7,因為二人的財物群畜甚多，寄居的地方容不下他們，所以不能同居。,For their wealth was so great that the land was not wide enough for the two of them and all their cattle.
1048,1048,1,Gen,創,Genesis,創世記,36,8,8,8,於是以掃住在西珥山裡；以掃就是以東。,So Esau made his living-place in the hill-country of Seir (Esau is Edom).
1049,1049,1,Gen,創,Genesis,創世記,36,9,9,9,以掃是西珥山裡以東人的始祖，他的後代記在下面。,"And these are the generations of Esau, the father of the Edomites in the hill-country of Seir:"
1050,1050,1,Gen,創,Genesis,創世記,36,10,10,10,以掃眾子的名字如下。以掃的妻子亞大生以利法；以掃的妻子巴實抹生流珥。,"These are the names of Esau's sons: Eliphaz, the son of Esau's wife Adah, and Reuel, the son of Esau's wife Basemath."
1051,1051,1,Gen,創,Genesis,創世記,36,11,11,11,以利法的兒子是提幔、阿抹、洗玻、迦坦、基納斯。,"The sons of Eliphaz were Teman, Omar, Zepho, Gatam, and Kenaz."
1052,1052,1,Gen,創,Genesis,創世記,36,12,12,12,亭納是以掃兒子以利法的妾；他給以利法生了亞瑪力。這是以掃的妻子亞大的子孫。,"And Eliphaz, the son of Esau, had connection with a woman named Timna, who gave birth to Amalek: all these were the children of Esau's wife Adah."
1053,1053,1,Gen,創,Genesis,創世記,36,13,13,13,流珥的兒子是拿哈、謝拉、沙瑪、米撒。這是以掃妻子巴實抹的子孫。,"And these are the sons of Reuel: Nahath, Zerah, Shammah, and Mizzah: they were the children of Esau's wife Basemath."
1054,1054,1,Gen,創,Genesis,創世記,36,14,14,14,以掃的妻子阿何利巴瑪是祭便的孫女，亞拿的女兒；他給以掃生了耶烏施、雅蘭、可拉。,"And these are the sons of Esau's wife Oholibamah, the daughter of Anah, the daughter of Zibeon: she was the mother of Jeush, Jalam, and Korah."
1055,1055,1,Gen,創,Genesis,創世記,36,15,15,15,以掃子孫中作族長的記在下面。以掃的長子以利法的子孫中，有提幔族長、阿抹族長、洗玻族長，基納斯族長、,"These were the chiefs among the sons of Esau: the sons of Eliphaz, Esau's first son: Teman, Omar, Zepho, Kenaz,"
1056,1056,1,Gen,創,Genesis,創世記,36,16,16,16,可拉族長、迦坦族長、亞瑪力族長。這是在以東地從以利法所出的族長，都是亞大的子孫。,"Korah, Gatam, Amalek: all these were chiefs in the land of Edom, the offspring of Eliphaz, the seed of Adah."
1057,1057,1,Gen,創,Genesis,創世記,36,17,17,17,以掃的兒子流珥的子孫中，有拿哈族長、謝拉族長、沙瑪族長、米撒族長。這是在以東地從流珥所出的族長，都是以掃妻子巴實抹的子孫。,"And these are the sons of Esau's son Reuel: Nahath, Zerah, Shammah, Mizzah: these were the chiefs of Reuel in the land of Edom, the children of Esau's wife Basemath."
1058,1058,1,Gen,創,Genesis,創世記,36,18,18,18,以掃的妻子阿何利巴瑪的子孫中，有耶烏施族長、雅蘭族長、可拉族長。這是從以掃妻子，亞拿的女兒，阿何利巴瑪子孫中所出的族長。,"And these are the sons of Esau's wife Oholibamah: Jeush, Jalam, and Korah: these were the chiefs who came from Esau's wife Oholibamah, daughter of Anah."
1059,1059,1,Gen,創,Genesis,創世記,36,19,19,19,以上的族長都是以掃的子孫；以掃就是以東。,"These were the sons of Esau (that is, Edom), and these were their chiefs."
1060,1060,1,Gen,創,Genesis,創世記,36,20,20,20,那地原有的居民─何利人西珥的子孫記在下面：就是羅坍、朔巴、祭便、亞拿、,"These are the sons of Seir the Horite who were living in that country; Lotan, Shobal, Zibeon, Anah,"
1061,1061,1,Gen,創,Genesis,創世記,36,21,21,21,底順、以察、底珊。這是從以東地的何利人西珥子孫中所出的族長。,"Dishon, Ezer, and Dishan: these are the chiefs of the Horites, offspring of Seir in the land of Edom."
1062,1062,1,Gen,創,Genesis,創世記,36,22,22,22,羅坍的兒子是何利、希幔；羅坍的妹子是亭納。,The children of Lotan were Hori and Hemam; Lotan's sister was Timna.
1063,1063,1,Gen,創,Genesis,創世記,36,23,23,23,朔巴的兒子是亞勒文、瑪拿轄、以巴錄、示玻、阿南。,"And these are the children of Shobal: Alvan, Manahath, Ebal, Shepho, and Onam."
1064,1064,1,Gen,創,Genesis,創世記,36,24,24,24,祭便的兒子是亞雅、亞拿〈當時在曠野放他父親祭便的驢，遇著溫泉的，就是這亞拿〉。,"And these are the children of Zibeon: Aiah and Anah; that same Anah who made the discovery of the water-springs in the waste land, when he was looking after the asses of his father Zibeon."
1065,1065,1,Gen,創,Genesis,創世記,36,25,25,25,亞拿的兒子是底順；亞拿的女兒是阿何利巴瑪。,And these are the children of Anah: Dishon and Oholibamah his daughter.
1066,1066,1,Gen,創,Genesis,創世記,36,26,26,26,底順的兒子是欣但、伊是班、益蘭、基蘭。,"These are the children of Dishon: Hemdan, Eshban, Ithran, and Keran."
1067,1067,1,Gen,創,Genesis,創世記,36,27,27,27,以察的兒子是辟罕、撒番、亞干。,"These are the children of Ezer: Bilhan, Zaavan, and Akan."
1068,1068,1,Gen,創,Genesis,創世記,36,28,28,28,底珊的兒子是烏斯、亞蘭。,These are the children of Dishan: Uz and Aran.
1069,1069,1,Gen,創,Genesis,創世記,36,29,29,29,從何利人所出的族長記在下面：就是羅坍族長、朔巴族長、祭便族長、亞拿族長、,"These were the Horite chiefs: Lotan, Shobal, Zibeon, Anah,"
1070,1070,1,Gen,創,Genesis,創世記,36,30,30,30,底順族長、以察族長、底珊族長。這是從何利人所出的族長，都在西珥地，按著宗族作族長。,"Dishon, Ezer, and Dishan. Such were the Horite chiefs in their order in the land of Seir."
1071,1071,1,Gen,創,Genesis,創世記,36,31,31,31,以色列人未有君王治理以先，在以東地作王的記在下面。,And these are the kings who were ruling in the land of Edom before there was any king over the children of Israel.
1072,1072,1,Gen,創,Genesis,創世記,36,32,32,32,比珥的兒子比拉在以東作王，他的京城名叫亭哈巴。,"Bela, son of Beor, was king in Edom, and the name of his chief town was Dinhabah."
1073,1073,1,Gen,創,Genesis,創世記,36,33,33,33,比拉死了，波斯拉人謝拉的兒子約巴接續他作王。,"At his death, Jobab, son of Zerah of Bozrah, became king in his place."
1074,1074,1,Gen,創,Genesis,創世記,36,34,34,34,約巴死了，提幔地的人戶珊接續他作王。,"And at the death of Jobab, Husham, from the country of the Temanites, became king in his place."
1075,1075,1,Gen,創,Genesis,創世記,36,35,35,35,戶珊死了，比達的兒子哈達接續他作王；這哈達就是在摩押地殺敗米甸人的，他的京城名叫亞未得。,"And at the death of Husham, Hadad, son of Bedad, who overcame the Midianites in the field of Moab, became king; his chief town was named Avith."
1076,1076,1,Gen,創,Genesis,創世記,36,36,36,36,哈達死了，瑪士利加人桑拉接續他作王。,"And at the death of Hadad, Samlah of Masrekah became king."
1077,1077,1,Gen,創,Genesis,創世記,36,37,37,37,桑拉死了，大河邊的利河伯人掃羅接續他作王。,"And at the death of Samlah, Shaul of Rehoboth by the River became king in his place."
1078,1078,1,Gen,創,Genesis,創世記,36,38,38,38,掃羅死了，亞革波的兒子巴勒哈南接續他作王。,"And at the death of Shaul, Baal-hanan, son of Achbor, became king."
1079,1079,1,Gen,創,Genesis,創世記,36,39,39,39,亞革波的兒子巴勒哈南死了，哈達接續他作王，他的京城名叫巴烏；他的妻子名叫米希他別，是米薩合的孫女，瑪特列的女兒。,"And at the death of Baal-hanan, Hadar became king in his place; his chief town was named Pau, and his wife's name was Mehetabel; she was the daughter of Matred, the daughter of Me-zahab."
1080,1080,1,Gen,創,Genesis,創世記,36,40,40,40,從以掃所出的族長，按著他們的宗族、住處、名字記在下面：就是亭納族長、亞勒瓦族長、耶帖族長、,"These are the names of the chiefs of Esau in the order of their families and their places: Timna, Alvah, Jetheth,"
1081,1081,1,Gen,創,Genesis,創世記,36,41,41,41,阿何利巴瑪族長、以拉族長、比嫩族長、,"Oholibamah, Elah, Pinon,"
1082,1082,1,Gen,創,Genesis,創世記,36,42,42,42,基納斯族長、提幔族長、米比薩族長、,"Kenaz, Teman, Mibzar,"
1083,1083,1,Gen,創,Genesis,創世記,36,43,43,43,瑪基疊族長、以蘭族長。這是以東人在所得為業的地上，按著他們的住處。〈所有的族長都是以東人的始祖以掃的後代。〉,"Magdiel, Iram; these are the Edomite chiefs, in their places in their heritage; this is Esau, the father of the Edomites."
1084,1084,1,Gen,創,Genesis,創世記,37,1,1,1,雅各住在迦南地，就是他父親寄居的地。,"Now Jacob was living in the land where his father had made a place for himself, in the land of Canaan."
1085,1085,1,Gen,創,Genesis,創世記,37,2,2,2,雅各的記略如下。約瑟十七歲與他哥哥們一同牧羊。他是個童子，與他父親的妾辟拉、悉帕的兒子們常在一處。約瑟將他哥哥們的惡行報給他們的父親。,"These are the generations of Jacob: Joseph, a boy seventeen years old, was looking after the flock, together with his brothers, the sons of Bilhah and Zilpah, his father's wives; and Joseph gave their father a bad account of them."
1086,1086,1,Gen,創,Genesis,創世記,37,3,3,3,以色列原來愛約瑟過於愛他的眾子，因為約瑟是他年老生的；他給約瑟做了一件彩衣。,"Now the love which Israel had for Joseph was greater than his love for all his other children, because he got him when he was an old man: and he had a long coat made for him."
1087,1087,1,Gen,創,Genesis,創世記,37,4,4,4,約瑟的哥哥們見父親愛約瑟過於愛他們，就恨約瑟，不與他說和睦的話。,"And because his brothers saw that Joseph was dearer to his father than all the others, they were full of hate for him, and would not say a kind word to him."
1088,1088,1,Gen,創,Genesis,創世記,37,5,5,5,約瑟做了一夢，告訴他哥哥們，他們就越發恨他。,"Now Joseph had a dream, and he gave his brothers an account of it, which made their hate greater than ever."
1089,1089,1,Gen,創,Genesis,創世記,37,6,6,6,約瑟對他們說：請聽我所做的夢：,"And he said to them, Let me give you the story of my dream."
1090,1090,1,Gen,創,Genesis,創世記,37,7,7,7,我們在田裡捆禾稼，我的捆起來站著，你們的捆來圍著我的捆下拜。,"We were in the field, getting the grain stems together, and my grain kept upright, and yours came round and went down on the earth before mine."
1091,1091,1,Gen,創,Genesis,創世記,37,8,8,8,他的哥哥們回答說：難道你真要作我們的王麼？難道你真要管轄我們麼？他們就因為他的夢和他的話越發恨他。,"And his brothers said to him, Are you to be our king? will you have authority over us? And because of his dream and his words, their hate for him became greater than ever."
1092,1092,1,Gen,創,Genesis,創世記,37,9,9,9,後來他又做了一夢，也告訴他的哥哥們說：看哪，我又做了一夢，夢見太陽、月亮，與十一個星向我下拜。,"Then he had another dream, and gave his brothers an account of it, saying, I have had another dream: the sun and the moon and eleven stars gave honour to me."
1093,1093,1,Gen,創,Genesis,創世記,37,10,10,10,約瑟將這夢告訴他父親和他哥哥們，他父親就責備他說：你做的這是甚麼夢！難道我和你母親、你弟兄果然要來俯伏在地，向你下拜麼？,"And he gave word of it to his father and his brothers; but his father protesting said, What sort of a dream is this? am I and your mother and your brothers to go down on our faces to the earth before you?"
1094,1094,1,Gen,創,Genesis,創世記,37,11,11,11,他哥哥們都嫉妒他，他父親卻把這話存在心裡。,And his brothers were full of envy; but his father kept his words in mind.
1095,1095,1,Gen,創,Genesis,創世記,37,12,12,12,約瑟的哥哥們往示劍去放他們父親的羊。,Now his brothers went to keep watch over their father's flock in Shechem.
1096,1096,1,Gen,創,Genesis,創世記,37,13,13,13,以色列對約瑟說：你哥哥們不是在示劍放羊麼？你來，我要打發你往他們那裡去。約瑟說：我在這裡。,"And Israel said to Joseph, Are not your brothers with the flock in Shechem? come, I will send you to them. And he said to him, Here am I."
1097,1097,1,Gen,創,Genesis,創世記,37,14,14,14,以色列說：你去看看你哥哥們平安不平安，群羊平安不平安，就回來報信給我；於是打發他出希伯崙谷，他就往示劍去了。,"And he said to him, Go now, and see if your brothers are well and how the flock is; then come back and give me word. So he sent him out of the valley of Hebron, and he came to Shechem."
1098,1098,1,Gen,創,Genesis,創世記,37,15,15,15,有人遇見他在田野走迷了路，就問他說：你找甚麼？,"And a man saw him wandering in the country, and said to him, What are you looking for?"
1099,1099,1,Gen,創,Genesis,創世記,37,16,16,16,他說：我找我的哥哥們，求你告訴我，他們在何處放羊。,"And he said, I am looking for my brothers; please give me word of where they are keeping their flock."
1100,1100,1,Gen,創,Genesis,創世記,37,17,17,17,那人說：他們已經走了，我聽見他們說要往多坍去。約瑟就去追趕他哥哥們，遇見他們在多坍。,"And the man said, They have gone away from here, for they said in my hearing, Let us go to Dothan. So Joseph went after them and came up with them at Dothan."
1101,1101,1,Gen,創,Genesis,創世記,37,18,18,18,他們遠遠地看見他，趁他還沒有走到跟前，大家就同謀要害死他，,"But they saw him when he was a long way off, and before he came near them they made a secret design against him to put him to death;"
1102,1102,1,Gen,創,Genesis,創世記,37,19,19,19,彼此說：你看！那做夢的來了。,"Saying to one another, See, here comes this dreamer."
1103,1103,1,Gen,創,Genesis,創世記,37,20,20,20,來罷！我們將他殺了，丟在一個坑裡，就說有惡獸把他吃了。我們且看他的夢將來怎麼樣。,"Let us now put him to death and put his body into one of these holes, and we will say, An evil beast has put him to death: then we will see what becomes of his dreams."
1104,1104,1,Gen,創,Genesis,創世記,37,21,21,21,流便聽見了，要救他脫離他們的手，說：我們不可害他的性命；,"But Reuben, hearing these words, got him out of their hands, saying, Let us not take his life."
1105,1105,1,Gen,創,Genesis,創世記,37,22,22,22,又說：不可流他的血，可以把他丟在這野地的坑裡，不可下手害他。流便的意思是要救他脫離他們的手，把他歸還他的父親。,"Do not put him to a violent death, but let him be placed in one of the holes; this he said to keep him safe from their hands, with the purpose of taking him back to his father again."
1106,1106,1,Gen,創,Genesis,創世記,37,23,23,23,約瑟到了他哥哥們那裡，他們就剝了他的外衣，就是他穿的那件彩衣，,"So when Joseph came to his brothers, they took off his long coat which he had on;"
1107,1107,1,Gen,創,Genesis,創世記,37,24,24,24,把他丟在坑裡；那坑是空的，裡頭沒有水。,And they took him and put him in the hole: now the hole had no water in it.
1108,1108,1,Gen,創,Genesis,創世記,37,25,25,25,他們坐下吃飯，舉目觀看，見有一夥米甸的以實瑪利人從基列來，用駱駝馱著香料、乳香、沒藥，要帶下埃及去。,"Then seating themselves, they took their meal: and looking up, they saw a travelling band of Ishmaelites, coming from Gilead on their way to Egypt, with spices and perfumes on their camels."
1109,1109,1,Gen,創,Genesis,創世記,37,26,26,26,猶大對眾弟兄說：我們殺我們的兄弟，藏了他的血有甚麼益處呢？,"And Judah said to his brothers, What profit is there in putting our brother to death and covering up his blood?"
1110,1110,1,Gen,創,Genesis,創世記,37,27,27,27,我們不如將他賣給以實瑪利人，不可下手害他；因為他是我們的兄弟，我們的骨肉。眾弟兄就聽從了他。,"Let us give him to these Ishmaelites for a price, and let us not put violent hands on him, for he is our brother, our flesh. And his brothers gave ear to him."
1111,1111,1,Gen,創,Genesis,創世記,37,28,28,28,有些米甸的商人從那裡經過，哥哥們就把約瑟從坑裡拉上來，講定二十舍客勒銀子，把約瑟賣給以實瑪利人。他們就把約瑟帶到埃及去了。,"And some traders from Midian went by; so pulling Joseph up out of the hole, they gave him to the Ishmaelites for twenty bits of silver, and they took him to Egypt."
1112,1112,1,Gen,創,Genesis,創世記,37,29,29,29,流便回到坑邊，見約瑟不在坑裡，就撕裂衣服，,"Now when Reuben came back to the hole, Joseph was not there; and giving signs of grief,"
1113,1113,1,Gen,創,Genesis,創世記,37,30,30,30,回到兄弟們那裡，說：童子沒有了。我往那裡去才好呢？,"He went back to his brothers, and said, The child is gone; what am I to do?"
1114,1114,1,Gen,創,Genesis,創世記,37,31,31,31,他們宰了一隻公山羊，把約瑟的那件彩衣染了血，,"Then they took Joseph's coat, and put on it some of the blood from a young goat which they had put to death,"
1115,1115,1,Gen,創,Genesis,創世記,37,32,32,32,打發人送到他們的父親那裡，說：我們撿了這個；請認一認是你兒子的外衣不是？,"And they took the coat to their father, and said, We came across this; is it your son's coat or not?"
1116,1116,1,Gen,創,Genesis,創世記,37,33,33,33,他認得，就說：這是我兒子的外衣。有惡獸把他吃了，約瑟被撕碎了！撕碎了！,"And he saw that it was, and said, It is my son's coat; an evil beast has put him to death; without doubt Joseph has come to a cruel end."
1117,1117,1,Gen,創,Genesis,創世記,37,34,34,34,雅各便撕裂衣服，腰間圍上麻布，為他兒子悲哀了多日。,"Then Jacob, giving signs of grief, put on haircloth, and went on weeping for his son day after day."
1118,1118,1,Gen,創,Genesis,創世記,37,35,35,35,他的兒女都起來安慰他，他卻不肯受安慰，說：我必悲哀著下陰間，到我兒子那裡。約瑟的父親就為他哀哭。,"And all his sons and all his daughters came to give him comfort, but he would not be comforted, saying with weeping, I will go down to the underworld to my son. So great was his father's sorrow for him."
1119,1119,1,Gen,創,Genesis,創世記,37,36,36,36,米甸人帶約瑟到埃及，把他賣給法老的內臣─護衛長波提乏。,"And in Egypt the men of Midian gave him for a price to Potiphar, a captain of high position in Pharaoh's house."
1120,1120,1,Gen,創,Genesis,創世記,38,1,1,1,那時，猶大離開他弟兄下去，到一個亞杜蘭人名叫希拉的家裡去。,"Now at that time, Judah went away from his brothers and became the friend of a man of Adullam named Hirah."
1121,1121,1,Gen,創,Genesis,創世記,38,2,2,2,猶大在那裡看見一個迦南人名叫書亞的女兒，就娶他為妻，與他同房，,"And there he saw the daughter of a certain man of Canaan named Shua, and took her as his wife."
1122,1122,1,Gen,創,Genesis,創世記,38,3,3,3,他就懷孕生了兒子，猶大給他起名叫珥。,"And she gave birth to a son, and he gave him the name Er."
1123,1123,1,Gen,創,Genesis,創世記,38,4,4,4,他又懷孕生了兒子，母親給他起名叫俄南。,"And again she gave birth to a son, and he gave him the name Onan."
1124,1124,1,Gen,創,Genesis,創世記,38,5,5,5,他復又生了兒子，給他起名叫示拉。他生示拉的時候，猶大正在基悉。,"Then she had another son, to whom she gave the name Shelah; she was at Chezib when the birth took place."
1125,1125,1,Gen,創,Genesis,創世記,38,6,6,6,猶大為長子珥娶妻，名叫他瑪。,"And Judah took a wife for his first son Er, and her name was Tamar."
1126,1126,1,Gen,創,Genesis,創世記,38,7,7,7,猶大的長子珥在耶和華眼中看為惡，耶和華就叫他死了。,"Now Er, Judah's first son, did evil in the eyes of the Lord, so that he put him to death."
1127,1127,1,Gen,創,Genesis,創世記,38,8,8,8,猶大對俄南說：你當與你哥哥的妻子同房，向他盡你為弟的本分，為你哥哥生子立後。,"Then Judah said to Onan, Go in to your brother's wife and do what it is right for a husband's brother to do; make her your wife and get offspring for your brother."
1128,1128,1,Gen,創,Genesis,創世記,38,9,9,9,俄南知道生子不歸自己，所以同房的時候便遺在地，免得給他哥哥留後。,"But Onan, seeing that the offspring would not be his, went in to his brother's wife, but let his seed go on to the earth, so that he might not get offspring for his brother."
1129,1129,1,Gen,創,Genesis,創世記,38,10,10,10,俄南所做的在耶和華眼中看為惡，耶和華也就叫他死了。,"And what he did was evil in the eyes of the Lord, so that he put him to death, like his brother."
1130,1130,1,Gen,創,Genesis,創世記,38,11,11,11,猶大心裡說：恐怕示拉也死，像他兩個哥哥一樣，就對他兒婦他瑪說：你去，在你父親家裡守寡，等我兒子示拉長大。他瑪就回去，住在他父親家裡。,"Then Judah said to Tamar, his daughter-in-law, Go back to your father's house and keep yourself as a widow till my son Shelah becomes a man: for he had in his mind the thought that death might come to him as it had come to his brothers. So Tamar went back to her father's house."
1131,1131,1,Gen,創,Genesis,創世記,38,12,12,12,過了許久，猶大的妻子書亞的女兒死了。猶大得了安慰，就和他朋友亞杜蘭人希拉上亭拿去，到他剪羊毛的人那裡。,"And after a time, Bath-shua, Judah's wife, came to her end; and after Judah was comforted for her loss, he went to Timnah, where they were cutting the wool of his sheep, and his friend Hirah of Adullam went with him."
1132,1132,1,Gen,創,Genesis,創世記,38,13,13,13,有人告訴他瑪說：你的公公上亭拿剪羊毛去了。,"And when Tamar had news that her father-in-law was going up to Timnah to the wool-cutting,"
1133,1133,1,Gen,創,Genesis,創世記,38,14,14,14,他瑪見示拉已經長大，還沒有娶他為妻，就脫了他作寡婦的衣裳，用帕子蒙著臉，又遮住身體，坐在亭拿路上的伊拿印城門口。,"She took off her widow's clothing, and covering herself with her veil, she took her seat near Enaim on the road to Timnah; for she saw that Shelah was now a man, but she had not been made his wife."
1134,1134,1,Gen,創,Genesis,創世記,38,15,15,15,猶大看見他，以為是妓女，因為他蒙著臉。,"When Judah saw her he took her to be a loose woman of the town, because her face was covered."
1135,1135,1,Gen,創,Genesis,創世記,38,16,16,16,猶大就轉到他那裡去，說：來罷！讓我與你同寢。他原不知道是他的兒婦。他瑪說：你要與我同寢，把甚麼給我呢？,"And turning to her by the roadside, he said to her, Let me come in to you; for he had no idea that she was his daughter-in-law. And she said, What will you give me as my price?"
1136,1136,1,Gen,創,Genesis,創世記,38,17,17,17,猶大說：我從羊群裡取一隻山羊羔，打發人送來給你。他瑪說：在未送以先，你願意給我一個當頭麼？,"And he said, I will give you a young goat from the flock. And she said, What will you give me as a sign till you send it?"
