|chapter|sec|no|content|lang
51|2|14|14|And in this purpose he gave you a part through the good news of which we were the preachers, even that you might have part in the glory of our Lord Jesus Christ.|en
52|2|15|15|所以，弟兄們，你們要站立得穩，凡所領受的教訓，不拘是我們口傳的，是信上寫的，都要堅守。|zh
53|2|15|15|So then, brothers, be strong in purpose, and keep the teaching which has been given to you by word or by letter from us.|en
54|2|16|16|但願我們主耶穌基督和那愛我們、開恩將永遠的安慰並美好的盼望賜給我們的父神，|zh
55|2|16|16|Now our Lord Jesus Christ himself, and God our Father who had love for us and has given us eternal comfort and good hope through grace,|en
56|2|17|17|安慰你們的心，並且在一切善行善言上堅固你們。|zh
57|2|17|17|Give you comfort and strength in every good work and word.|en
58|3|1|1|弟兄們，我還有話說：請你們為我們禱告，好叫主的道理快快行開，得著榮耀，正如在你們中間一樣。|zh
59|3|1|1|For the rest, my brothers, let there be prayer for us that the word of the Lord may go forward with increasing glory, even as it does with you;|en
60|3|2|2|也叫我們脫離無理之惡人的手，因為人不都是有信心。|zh
61|3|2|2|And that we may be made free from foolish and evil men; for not all have faith.|en
62|3|3|3|但主是信實的，要堅固你們，保護你們脫離那惡者。（或作：脫離兇惡）。|zh
63|3|3|3|But the Lord is true, who will give you strength and keep you safe from evil.|en
64|3|4|4|我們靠主深信，你們現在是遵行我們所吩咐的，後來也必要遵行。|zh
65|3|4|4|And we have faith in the Lord about you, that you are doing and will do the things about which we give you orders.|en
66|3|5|5|願主引導你們的心，叫你們愛神，並學基督的忍耐。|zh
67|3|5|5|And may your hearts be guided by the Lord into the love of God and quiet waiting for Christ.|en
68|3|6|6|弟兄們，我們奉主耶穌基督的名吩咐你們，凡有弟兄不按規矩而行，不遵守從我們所受的教訓，就當遠離他。|zh
69|3|6|6|Now we give you orders, brothers, in the name of our Lord Jesus Christ, to keep away from all those whose behaviour is not well ordered and in harmony with the teaching which they had from us.|en
70|3|7|7|你們自己原知道應當怎樣效法我們。因為我們在你們中間，未嘗不按規矩而行，|zh
71|3|7|7|For you yourselves are used to taking us as your example, because our life among you was ruled by order,|en
72|3|8|8|也未嘗白吃人的飯，倒是辛苦勞碌，晝夜做工，免得叫你們一人受累。|zh
73|3|8|8|And we did not take food from any man for nothing, but were working hard night and day not to be a trouble to any of you:|en
74|3|9|9|這並不是因我們沒有權柄，乃是要給你們作榜樣，叫你們效法我們。|zh
75|3|9|9|Not because we have not the right, but to make ourselves an example to you, so that you might do the same.|en
76|3|10|10|我們在你們那裡的時候，曾吩咐你們說，若有人不肯做工，就不可吃飯。|zh
77|3|10|10|For even when we were with you we gave you orders, saying, If any man does no work, let him not have food.|en
78|3|11|11|因我們聽說，在你們中間有人不按規矩而行，甚麼工都不做，反倒專管閒事。|zh
79|3|11|11|For it has come to our ears that there are some among you whose behaviour is uncontrolled, who do no work at all, but are over-interested in the business of others.|en
80|3|12|12|我們靠主耶穌基督吩咐、勸戒這樣的人，要安靜做工，吃自己的飯。|zh
81|3|12|12|Now to such we give orders and make request in the Lord Jesus, that, working quietly, they get their living.|en
82|3|13|13|弟兄們，你們行善不可喪志。|zh
83|3|13|13|And you, my brothers, do not get tired of well-doing.|en
84|3|14|14|若有人不聽從我們這信上的話，要記下他，不和他交往，叫他自覺羞愧。|zh
85|3|14|14|And if any man does not give attention to what we have said in this letter, take note of that man, and keep away from him, so that he may be shamed.|en
86|3|15|15|但不要以他為仇人，要勸他如弟兄。|zh
87|3|15|15|Have no feeling of hate for him, but take him in hand seriously as a brother.|en
88|3|16|16|願賜平安的主隨時隨事親自給你們平安！願主常與你們眾人同在！|zh
89|3|16|16|Now the Lord of peace himself give you peace at all times and in every way. May the Lord be with you all.|en
90|3|17|17|我保羅親筆問你們安。凡我的信都以此為記，我的筆跡就是這樣。|zh
91|3|17|17|These words of love to you at the end are in my writing, Paul's writing, and this is the mark of every letter from me.|en
92|3|18|18|願我們主耶穌基督的恩常與你們眾人同在！|zh
93|3|18|18|May the grace of our Lord Jesus Christ be with you all.|en
