|chapter|sec|no|content|lang
55|2|17|17|The children of Bezai, three hundred and twenty-three.|en
56|2|18|18|約拉的子孫一百一十二名；|zh
57|2|18|18|The children of Jorah, a hundred and twelve.|en
58|2|19|19|哈順的子孫二百二十三名；|zh
59|2|19|19|The children of Hashum, two hundred and twenty-three.|en
60|2|20|20|吉罷珥人九十五名；|zh
61|2|20|20|The children of Gibbar, ninety-five.|en
62|2|21|21|伯利恆人一百二十三名；|zh
63|2|21|21|The children of Beth-lehem, a hundred and twenty-three.|en
64|2|22|22|尼陀法人五十六名；|zh
65|2|22|22|The men of Netophah, fifty-six.|en
66|2|23|23|亞拿突人一百二十八名；|zh
67|2|23|23|The men of Anathoth, a hundred and twenty-eight.|en
68|2|24|24|亞斯瑪弗人四十二名；|zh
69|2|24|24|The children of Azmaveth, forty-two.|en
70|2|25|25|基列•耶琳人、基非拉人、比錄人共七百四十三名；|zh
71|2|25|25|The children of Kiriath-arim, Chephirah, and Beeroth, seven hundred and forty-three.|en
72|2|26|26|拉瑪人、迦巴人共六百二十一名；|zh
73|2|26|26|The children of Ramah and Geba, six hundred and twenty-one.|en
74|2|27|27|默瑪人一百二十二名；|zh
75|2|27|27|The men of Michmas, a hundred and twenty-two.|en
76|2|28|28|伯特利人、艾人共二百二十三名；|zh
77|2|28|28|The men of Beth-el and Ai, two hundred and twenty-three.|en
78|2|29|29|尼波人五十二名；|zh
79|2|29|29|The children of Nebo, fifty-two.|en
80|2|30|30|末必人一百五十六名；|zh
81|2|30|30|The children of Magbish, a hundred and fifty-six.|en
82|2|31|31|別的以攔子孫一千二百五十四名；|zh
83|2|31|31|The children of the other Elam, a thousand, two hundred and fifty-four.|en
84|2|32|32|哈琳的子孫三百二十名；|zh
85|2|32|32|The children of Harim, three hundred and twenty.|en
86|2|33|33|羅德人、哈第人、阿挪人共七百二十五名；|zh
87|2|33|33|The children of Lod, Hadid, and Ono, seven hundred and twenty-five.|en
88|2|34|34|耶利哥人三百四十五名；|zh
89|2|34|34|The children of Jericho, three hundred and forty-five.|en
90|2|35|35|西拿人三千六百三十名。|zh
91|2|35|35|The children of Senaah, three thousand, six hundred and thirty.|en
92|2|36|36|祭司：耶書亞家耶大雅的子孫九百七十三名；|zh
93|2|36|36|The priests: the children of Jedaiah, of the house of Jeshua, nine hundred and seventy-three.|en
94|2|37|37|音麥的子孫一千零五十二名；|zh
95|2|37|37|The children of Immer, a thousand and fifty-two.|en
96|2|38|38|巴施戶珥的子孫一千二百四十七名；|zh
97|2|38|38|The children of Pashhur, a thousand, two hundred and forty-seven.|en
98|2|39|39|哈琳的子孫一千零一十七名。|zh
99|2|39|39|The children of Harim, a thousand and seventeen.|en
100|2|40|40|利未人：何達威雅的後裔，就是耶書亞和甲篾的子孫七十四名。|zh
101|2|40|40|The Levites: the children of Jeshua and Kadmiel, of the children of Hodaviah, seventy-four.|en
102|2|41|41|歌唱的：亞薩的子孫一百二十八名。|zh
103|2|41|41|The music-makers: the children of Asaph, a hundred and twenty-eight|en
104|2|42|42|守門的：沙龍的子孫、亞特的子孫、達們的子孫、亞谷的子孫、哈底大的子孫、朔拜的子孫，共一百三十九名。|zh
105|2|42|42|The children of the door-keepers: the children of Shallum, the children of Ater, the children of Talmon, the children of Akkub, the children of Hatita, the children of Shobai, a hundred and thirty-nine.|en
106|2|43|43|尼提寧（就是殿役）：西哈的子孫、哈蘇巴的子孫、答巴俄的子孫、|zh
107|2|43|43|The Nethinim: the children of Ziha, the children of Hasupha, the children of Tabbaoth,|en
108|2|44|44|基綠的子孫、西亞的子孫、巴頓的子孫、|zh
109|2|44|44|The children of Keros, the children of Siaha, the children of Padon,|en
110|2|45|45|利巴拿的子孫、哈迦巴的子孫、亞谷的子孫、|zh
111|2|45|45|The children of Lebanah, the children of Hagabah, the children of Akkub,|en
112|2|46|46|哈甲的子孫、薩買的子孫、哈難的子孫、|zh
113|2|46|46|The children of Hagab, the children of Shamlai, the children of Hanan,|en
114|2|47|47|吉德的子孫、迦哈的子孫、利亞雅的子孫、|zh
115|2|47|47|The children of Giddel, the children of Gahar, the children of Reaiah,|en
116|2|48|48|利汛的子孫、尼哥大的子孫、迦散的子孫、|zh
117|2|48|48|The children of Rezin, the children of Nekoda, the children of Gazzam,|en
118|2|49|49|烏撒的子孫、巴西亞的子孫、比賽的子孫、|zh
119|2|49|49|The children of Uzza, the children of Paseah, the children of Besai,|en
120|2|50|50|押拿的子孫、米烏寧的子孫、尼普心的子孫、|zh
121|2|50|50|The children of Asnah, the children of Meunim, the children of Nephisim,|en
122|2|51|51|巴卜的子孫、哈古巴的子孫、哈忽的子孫、|zh
123|2|51|51|The children of Bakbuk, the children of Hakupha, the children of Harhur,|en
124|2|52|52|巴洗律的子孫、米希大的子孫、哈沙的子孫、|zh
125|2|52|52|The children of Bazluth, the children of Mehida, the children of Harsha,|en
126|2|53|53|巴柯的子孫、西西拉的子孫、答瑪的子孫、|zh
127|2|53|53|The children of Barkos, the children of Sisera, the children of Temah,|en
128|2|54|54|尼細亞的子孫、哈提法的子孫。|zh
129|2|54|54|The children of Neziah, the children of Hatipha.|en
130|2|55|55|所羅門僕人的後裔，就是瑣太的子孫、瑣斐列的子孫、比路大的子孫、|zh
131|2|55|55|The children of Solomon's servants: the children of Sotai, the children of Hassophereth, the children of Peruda,|en
132|2|56|56|雅拉的子孫、達昆的子孫、吉德的子孫、|zh
133|2|56|56|The children of Jaalah, the children of Darkon, the children of Giddel,|en
