|chapter|sec|no|content|lang
59|1|31|31|你要懷孕生子，可以給他起名叫耶穌。|zh
60|1|31|31|And see, you will give birth to a son, and his name will be Jesus.|en
61|1|32|32|他要為大，稱為至高者的兒子；主神要把他祖大衛的位給他。|zh
62|1|32|32|He will be great, and will be named the Son of the Most High: and the Lord God will give him the kingdom of David, his father:|en
63|1|33|33|他要作雅各家的王，直到永遠；他的國也沒有窮盡。|zh
64|1|33|33|He will have rule over the house of Jacob for ever, and of his kingdom there will be no end.|en
65|1|34|34|馬利亞對天使說：我沒有出嫁，怎麼有這事呢？|zh
66|1|34|34|And Mary said to the angel, How may this be, because I have had no knowledge of a man?|en
67|1|35|35|天使回答說：聖靈要臨到你身上，至高者的能力要蔭庇你，因此所要生的聖者必稱為神的兒子（或作：所要生的，必稱為聖，稱為神的兒子）。|zh
68|1|35|35|And the angel in answer said to her, The Holy Spirit will come on you, and the power of the Most High will come to rest on you, and so that which will come to birth will be named holy, Son of God.|en
69|1|36|36|況且你的親戚以利沙伯，在年老的時候也懷了男胎，就是那素來稱為不生育的，現在有孕六個月了。|zh
70|1|36|36|Even now Elisabeth, who is of your family, is to be a mother, though she is old: and this is the sixth month with her who was without children.|en
71|1|37|37|因為，出於神的話，沒有一句不帶能力的。|zh
72|1|37|37|For there is nothing which God is not able to do.|en
73|1|38|38|馬利亞說：我是主的使女，情願照你的話成就在我身上。天使就離開他去了。|zh
74|1|38|38|And Mary said: I am the servant of the Lord; may it be to me as you say. And the angel went away.|en
75|1|39|39|那時候，馬利亞起身，急忙往山地裡去，來到猶大的一座城；|zh
76|1|39|39|Then Mary got up and went quickly into the high lands, to a town of Judah;|en
77|1|40|40|進了撒迦利亞的家，問以利沙伯安。|zh
78|1|40|40|And went into the house of Zacharias and took Elisabeth in her arms.|en
79|1|41|41|以利沙伯一聽馬利亞問安，所懷的胎就在腹裡跳動。以利沙伯且被聖靈充滿，|zh
80|1|41|41|And when the voice of Mary came to the ears of Elisabeth, the baby made a sudden move inside her; then Elisabeth was full of the Holy Spirit,|en
81|1|42|42|高聲喊著說：你在婦女中是有福的！你所懷的胎也是有福的！|zh
82|1|42|42|And she said with a loud voice: May blessing be on you among women, and a blessing on the child of your body.|en
83|1|43|43|我主的母到我這裡來，這是從那裡得的呢？|zh
84|1|43|43|How is it that the mother of my Lord comes to me?|en
85|1|44|44|因為你問安的聲音一入我耳，我腹裡的胎就歡喜跳動。|zh
86|1|44|44|For, truly, when the sound of your voice came to my ears, the baby in my body made a sudden move for joy.|en
87|1|45|45|這相信的女子是有福的！因為主對他所說的話都要應驗。|zh
88|1|45|45|Happy will she be who had faith that the things which the Lord has said to her will be done.|en
89|1|46|46|馬利亞說：我心尊主為大；|zh
90|1|46|46|And Mary said: My soul gives glory to God;|en
91|1|47|47|我靈以神我的救主為樂；|zh
92|1|47|47|My spirit is glad in God my Saviour.|en
93|1|48|48|因為他顧念他使女的卑微；從今以後，萬代要稱我有福。|zh
94|1|48|48|For he has had pity on his servant, though she is poor and lowly placed: and from this hour will all generations give witness to the blessing which has come to me.|en
95|1|49|49|那有權能的，為我成就了大事；他的名為聖。|zh
96|1|49|49|For he who is strong has done great things for me; and holy is his name.|en
97|1|50|50|他憐憫敬畏他的人，直到世世代代。|zh
98|1|50|50|His mercy is for all generations in whom is the fear of him.|en
99|1|51|51|他用膀臂施展大能；那狂傲的人正心裡妄想就被他趕散了。|zh
100|1|51|51|With his arm he has done acts of power; he has put to flight those who have pride in their hearts.|en
