|chapter|sec|no|content|lang
76|2|21|21|因為有人用智慧、知識、靈巧所勞碌得來的，卻要留給未曾勞碌的人為分.。這也是虛空，也是大患。|zh
77|2|21|21|Because there is a man whose work has been done with wisdom, with knowledge, and with an expert hand; but one who has done nothing for it will have it for his heritage. This again is to no purpose and a great evil.|en
78|2|22|22|人在日光之下勞碌累心，在他一切的勞碌上得著甚麼呢？|zh
79|2|22|22|What does a man get for all his work, and for the weight of care with which he has done his work under the sun?|en
80|2|23|23|因為他日日憂慮，他的勞苦成為愁煩，連夜間心也不安。這也是虛空。|zh
81|2|23|23|All his days are sorrow, and his work is full of grief. Even in the night his heart has no rest. This again is to no purpose.|en
82|2|24|24|人莫強如吃喝，且在勞碌中享福，我看這也是出於神的手。|zh
83|2|24|24|There is nothing better for a man than taking meat and drink, and having delight in his work. This again I saw was from the hand of God.|en
84|2|25|25|論到吃用、享福，誰能勝過我呢？|zh
85|2|25|25|Who may take food or have pleasure without him?|en
86|2|26|26|神喜悅誰，就給誰智慧、知識，和喜樂；惟有罪人，神使他勞苦，叫他將所收聚的、所堆積的歸給神所喜悅的人。這也是虛空，也是捕風。|zh
87|2|26|26|To the man with whom he is pleased, God gives wisdom and knowledge and joy; but to the sinner he gives the work of getting goods together and storing up wealth, to give to him in whom God has pleasure. This again is to no purpose and desire for wind.|en
88|3|1|1|凡事都有定期，天下萬務都有定時。|zh
89|3|1|1|For everything there is a fixed time, and a time for every business under the sun.|en
90|3|2|2|生有時，死有時；栽種有時，拔出所栽種的也有時；|zh
91|3|2|2|A time for birth and a time for death; a time for planting and a time for uprooting;|en
92|3|3|3|殺戮有時，醫治有時；拆毀有時，建造有時；|zh
93|3|3|3|A time to put to death and a time to make well; a time for pulling down and a time for building up;|en
94|3|4|4|哭有時，笑有時；哀慟有時，跳舞有時；|zh
95|3|4|4|A time for weeping and a time for laughing; a time for sorrow and a time for dancing;|en
96|3|5|5|拋擲石頭有時，堆聚石頭有時；懷抱有時，不懷抱有時；|zh
97|3|5|5|A time to take stones away and a time to get stones together; a time for kissing and a time to keep from kissing;|en
98|3|6|6|尋找有時，失落有時；保守有時，捨棄有時；|zh
99|3|6|6|A time for search and a time for loss; a time to keep and a time to give away;|en
100|3|7|7|撕裂有時，縫補有時；靜默有時，言語有時；|zh
101|3|7|7|A time for undoing and a time for stitching; a time for keeping quiet and a time for talk;|en
102|3|8|8|喜愛有時，恨惡有時；爭戰有時，和好有時。|zh
103|3|8|8|A time for love and a time for hate; a time for war and a time for peace.|en
104|3|9|9|這樣看來，做事的人在他的勞碌上有甚麼益處呢？|zh
105|3|9|9|What profit has the worker in the work which he does?|en
106|3|10|10|我見神叫世人勞苦，使他們在其中受經練。|zh
107|3|10|10|I saw the work which God has put on the sons of man.|en
108|3|11|11|神造萬物，各按其時成為美好，又將永生（原文是永遠）安置在世人心裡。然而神從始至終的作為，人不能參透。|zh
109|3|11|11|He has made everything right in its time; but he has made their hearts without knowledge, so that man is unable to see the works of God, from the first to the last.|en
110|3|12|12|我知道世人，莫強如終身喜樂行善；|zh
111|3|12|12|I am certain that there is nothing better for a man than to be glad, and to do good while life is in him.|en
112|3|13|13|並且人人吃喝，在他一切勞碌中享福，這也是神的恩賜。|zh
113|3|13|13|And for every man to take food and drink, and have joy in all his work, is a reward from God.|en
114|3|14|14|我知道神一切所做的都必永存；無所增添，無所減少。　神這樣行，是要人在他面前存敬畏的心。|zh
115|3|14|14|I am certain that whatever God does will be for ever. No addition may be made to it, nothing may be taken from it; and God has done it so that man may be in fear before him.|en
116|3|15|15|現今的事早先就有了，將來的事早已也有了，並且神使已過的事重新再來（或譯：並且　神再尋回已過的事）。|zh
117|3|15|15|Whatever is has been before, and what is to be is now; because God makes search for the things which are past.|en
118|3|16|16|我又見日光之下，在審判之處有奸惡，在公義之處也有奸惡。|zh
119|3|16|16|And again, I saw under the sun, in the place of the judges, that evil was there; and in the place of righteousness, that evil was there.|en
120|3|17|17|我心裡說，神必審判義人和惡人；因為在那裡，各樣事務，一切工作，都有定時。|zh
121|3|17|17|I said in my heart, God will be judge of the good and of the bad; because a time for every purpose and for every work has been fixed by him.|en
122|3|18|18|我心裡說，這乃為世人的緣故，是神要試驗他們，使他們覺得自己不過像獸一樣。|zh
123|3|18|18|I said in my heart, It is because of the sons of men, so that God may put them to the test and that they may see themselves as beasts.|en
124|3|19|19|因為世人遭遇的，獸也遭遇，所遭遇的都是一樣：這個怎樣死，那個也怎樣死，氣息都是一樣。人不能強於獸，都是虛空。|zh
125|3|19|19|Because the fate of the sons of men and the fate of the beasts is the same. As is the death of one so is the death of the other, and all have one spirit. Man is not higher than the beasts; because all is to no purpose.|en
126|3|20|20|都歸一處，都是出於塵土，也都歸於塵土。|zh
127|3|20|20|All go to one place, all are of the dust, and all will be turned to dust again.|en
128|3|21|21|誰知道人的靈是往上升，獸的魂是下入地呢？|zh
129|3|21|21|Who is certain that the spirit of the sons of men goes up to heaven, or that the spirit of the beasts goes down to the earth?|en
130|3|22|22|故此，我見人莫強如在他經營的事上喜樂，因為這是他的分。他身後的事誰能使他回來得見呢？|zh
131|3|22|22|So I saw that there is nothing better than for a man to have joy in his work--because that is his reward. Who will make him see what will come after him?|en
132|4|1|1|我又轉念，見日光之下所行的一切欺壓。看哪，受欺壓的流淚，且無人安慰；欺壓他們的有勢力，也無人安慰他們。|zh
133|4|1|1|And again I saw all the cruel things which are done under the sun; there was the weeping of those who have evil done to them, and they had no comforter: and from the hands of the evil-doers there went out power, but they had no comforter.|en
134|4|2|2|因此，我讚歎那早已死的死人，勝過那還活著的活人。|zh
135|4|2|2|So my praise was for the dead who have gone to their death, more than for the living who still have life.|en
136|4|3|3|並且我以為那未曾生的，就是未見過日光之下惡事的，比這兩等人更強。|zh
137|4|3|3|Yes, happier than the dead or the living seemed he who has not ever been, who has not seen the evil which is done under the sun.|en
138|4|4|4|我又見人為一切的勞碌和各樣靈巧的工作就被鄰舍嫉妒。這也是虛空，也是捕風。|zh
139|4|4|4|And I saw that the cause of all the work and of everything which is done well was man's envy of his neighbour. This again is to no purpose and a desire for wind.|en
140|4|5|5|愚昧人抱著手，吃自己的肉。|zh
141|4|5|5|The foolish man, folding his hands, takes the flesh of his body for food.|en
142|4|6|6|滿了一把，得享安靜，強如滿了兩把，勞碌捕風。|zh
143|4|6|6|One hand full of rest is better than two hands full of trouble and desire for wind.|en
144|4|7|7|我又轉念，見日光之下有一件虛空的事：|zh
145|4|7|7|Then I came back, and I saw an example of what is to no purpose under the sun.|en
146|4|8|8|有人孤單無二，無子無兄，竟勞碌不息，眼目也不以錢財為足。他說：我勞勞碌碌，刻苦自己，不享福樂，到底是為誰呢？這也是虛空，是極重的勞苦。|zh
147|4|8|8|It is one who is by himself, without a second, and without son or brother; but there is no end to all his work, and he has never enough of wealth. For whom, then, am I working and keeping myself from pleasure? This again is to no purpose, and a bitter work.|en
148|4|9|9|兩個人總比一個人好，因為二人勞碌同得美好的果效。|zh
149|4|9|9|Two are better than one, because they have a good reward for their work.|en
150|4|10|10|若是跌倒，這人可以扶起他的同伴；若是孤身跌倒，沒有別人扶起他來，這人就有禍了。|zh
151|4|10|10|And if one has a fall, the other will give him a hand; but unhappy is the man who is by himself, because he has no helper.|en
152|4|11|11|再者，二人同睡就都暖和，一人獨睡怎能暖和呢？|zh
153|4|11|11|So again, if two are sleeping together they are warm, but how may one be warm by himself?|en
154|4|12|12|有人攻勝孤身一人，若有二人便能敵擋他；三股合成的繩子不容易折斷。|zh
155|4|12|12|And two attacked by one would be safe, and three cords twisted together are not quickly broken.|en
156|4|13|13|貧窮而有智慧的少年人勝過年老不肯納諫的愚昧王。|zh
157|4|13|13|A young man who is poor and wise is better than a king who is old and foolish and will not be guided by the wisdom of others.|en
158|4|14|14|這人是從監牢中出來作王，在他國中，生來原是貧窮的。|zh
159|4|14|14|Because out of a prison the young man comes to be king, though by birth he was only a poor man in the kingdom.|en
160|4|15|15|我見日光之下一切行動的活人都隨從那第二位，就是起來代替老王的少年人。|zh
161|4|15|15|I saw all the living under the sun round the young man who was to be ruler in place of the king.|en
162|4|16|16|他所治理的眾人就是他的百姓，多得無數；在他後來的人尚且不喜悅他。這真是虛空，也是捕風。|zh
163|4|16|16|There was no end of all the people, of all those whose head he was, but they who come later will have no delight in him. This again is to no purpose and desire for wind.|en
164|5|1|1|你到神的殿要謹慎腳步；因為近前聽，勝過愚昧人獻祭（或譯：勝過獻愚昧人的祭），他們本不知道所做的是惡。|zh
165|5|1|1|Put your feet down with care when you go to the house of God, for it is better to give ear than to make the burned offerings of the foolish, whose knowledge is only of doing evil.|en
166|5|2|2|你在神面前不可冒失開口，也不可心急發言；因為　神在天上，你在地下，所以你的言語要寡少。|zh
167|5|2|2|Be not unwise with your mouth, and let not your heart be quick to say anything before God, because God is in heaven and you are on the earth--so let not the number of your words be great.|en
168|5|3|3|事務多，就令人做夢；言語多，就顯出愚昧。|zh
169|5|3|3|As a dream comes from much business, so the voice of a foolish man comes with words in great number.|en
170|5|4|4|你向神許願，償還不可遲延，因他不喜悅愚昧人，所以你許的願應當償還。|zh
171|5|4|4|When you take an oath before God, put it quickly into effect, because he has no pleasure in the foolish; keep the oath you have taken.|en
172|5|5|5|你許願不還，不如不許。|zh
173|5|5|5|It is better not to take an oath than to take an oath and not keep it.|en
174|5|6|6|不可任你的口使肉體犯罪，也不可在祭司（原文是使者）面前說是錯許了。為何使神因你的聲音發怒，敗壞你手所做的呢？|zh
175|5|6|6|Let not your mouth make your flesh do evil. And say not before the angel, It was an error. So that God may not be angry with your words and put an end to the work of your hands.|en
176|5|7|7|多夢和多言，其中多有虛幻，你只要敬畏神。|zh
177|5|7|7|Because much talk comes from dreams and things of no purpose. But let the fear of God be in you.|en
178|5|8|8|你若在一省之中見窮人受欺壓，並奪去公義公平的事，不要因此詫異；因有一位高過居高位的鑒察，在他們以上還有更高的。|zh
179|5|8|8|If you see the poor under a cruel yoke, and law and right being violently overturned in a country, be not surprised, because one authority is keeping watch on another and there are higher than they.|en
180|5|9|9|況且地的益處歸眾人，就是君王也受田地的供應。|zh
181|5|9|9|It is good generally for a country where the land is worked to have a king.|en
182|5|10|10|貪愛銀子的，不因得銀子知足；貪愛豐富的，也不因得利益知足。這也是虛空。|zh
183|5|10|10|He who has a love for silver never has enough silver, or he who has love for wealth, enough profit. This again is to no purpose.|en
184|5|11|11|貨物增添，吃的人也增添，物主得甚麼益處呢？不過眼看而已！|zh
185|5|11|11|When goods are increased, the number of those who take of them is increased; and what profit has the owner but to see them?|en
186|5|12|12|勞碌的人不拘吃多吃少，睡得香甜；富足人的豐滿卻不容他睡覺。|zh
187|5|12|12|The sleep of a working man is sweet, if he has little food or much; but to him who is full, sleep will not come.|en
188|5|13|13|我見日光之下有一宗大禍患，就是財主積存資財，反害自己。|zh
189|5|13|13|There is a great evil which I have seen under the sun--wealth kept by the owner to be his downfall.|en
190|5|14|14|因遭遇禍患，這些資財就消滅；那人若生了兒子，手裡也一無所有。|zh
191|5|14|14|And I saw the destruction of his wealth by an evil chance; and when he became the father of a son he had nothing in his hand.|en
192|5|15|15|他怎樣從母胎赤身而來，也必照樣赤身而去；他所勞碌得來的，手中分毫不能帶去。|zh
193|5|15|15|As he came from his mother at birth, so does he go again; he gets from his work no reward which he may take away in his hand.|en
194|5|16|16|他來的情形怎樣，他去的情形也怎樣。這也是一宗大禍患。他為風勞碌有甚麼益處呢？|zh
195|5|16|16|And this again is a great evil, that in all points as he came so will he go; and what profit has he in working for the wind?|en
196|5|17|17|並且他終身在黑暗中吃喝，多有煩惱，又有病患嘔氣。|zh
197|5|17|17|All his days are in the dark, and he has much sorrow, pain, disease, and trouble.|en
198|5|18|18|我所見為善為美的，就是人在神賜他一生的日子吃喝，享受日光之下勞碌得來的好處，因為這是他的分。|zh
