|chapter|sec|no|content|lang
54|1|28|28|我們傳揚他，是用諸般的智慧，勸戒各人，教導各人，要把各人在基督裡完完全全的引到神面前。|zh
55|1|28|28|Whom we are preaching; guiding and teaching every man in all wisdom, so that every man may be complete in Christ;|en
56|1|29|29|我也為此勞苦，照著他在我�面運用的大能盡心竭力。|zh
57|1|29|29|And for this purpose I am working, using all my strength by the help of his power which is working in me strongly.|en
58|2|1|1|我願意你們曉得，我為你們和老底嘉人，並一切沒有與我親自見面的人，是何等的盡心竭力；|zh
59|2|1|1|For it is my desire to give you news of the great fight I am making for you and for those at Laodicea, and for all who have not seen my face in the flesh;|en
60|2|2|2|要叫他們的心得安慰，因愛心互相聯絡，以致豐豐足足在悟性中有充足的信心，使他們真知神的奧祕，就是基督；|zh
61|2|2|2|So that their hearts may be comforted, and that being joined together in love, they may come to the full wealth of the certain knowledge of the secret of God, even Christ,|en
62|2|3|3|所積蓄的一切智慧知識，都在他裡面藏著。|zh
63|2|3|3|In whom are all the secret stores of wisdom and knowledge.|en
64|2|4|4|我說這話，免得有人用花言巧語迷惑你們。|zh
65|2|4|4|I say this so that you may not be turned away by any deceit of words.|en
66|2|5|5|我身子雖與你們相離，心卻與你們同在，見你們循規蹈矩，信基督的心也堅固，我就歡喜了。|zh
67|2|5|5|For though I am not present in the flesh, still I am with you in the spirit, seeing with joy your order, and your unchanging faith in Christ.|en
68|2|6|6|你們既然接受了主基督耶穌，就當遵他而行，|zh
69|2|6|6|As, then, you took Christ Jesus the Lord, so go on in him,|en
70|2|7|7|在他裡面生根建造，信心堅固，正如你們所領的教訓，感謝的心也更增長了。|zh
71|2|7|7|Rooted and based together in him, strong in the faith which the teaching gave you, giving praise to God at all times.|en
72|2|8|8|你們要謹慎，恐怕有人用他的理學和虛空的妄言，不照著基督，乃照人間的遺傳和世上的小學就把你們擄去。|zh
73|2|8|8|Take care that no one takes you away by force, through man's wisdom and deceit, going after the beliefs of men and the theories of the world, and not after Christ:|en
74|2|9|9|因為神本性一切的豐盛都有形有體的居住在基督裡面，|zh
75|2|9|9|For in him all the wealth of God's being has a living form,|en
76|2|10|10|你們在他裡面也得了豐盛。他是各樣執政掌權者的元首。|zh
77|2|10|10|And you are complete in him, who is the head of all rule and authority:|en
78|2|11|11|你們在他裡面也受了不是人手所行的割禮，乃是基督使你們脫去肉體情慾的割禮。|zh
79|2|11|11|In whom you had a circumcision not made with hands, in the putting off of the body of the flesh, in the circumcision of Christ;|en
80|2|12|12|你們既受洗與他一同埋葬，也就在此與他一同復活，都因信那叫他從死裡復活神的功用。|zh
81|2|12|12|Having been put to death with him in baptism, by which you came to life again with him, through faith in the working of God, who made him come back from the dead.|en
82|2|13|13|你們從前在過犯和未受割禮的肉體中死了，神赦免了你們（或作：我們）一切過犯，便叫你們與基督一同活過來；|zh
83|2|13|13|And you, being dead through your sins and the evil condition of your flesh, to you, I say, he gave life together with him, and forgiveness of all our sins;|en
84|2|14|14|又塗抹了在律例上所寫攻擊我們，有礙於我們的字據，把他撤去，釘在十字架上。|zh
85|2|14|14|Having put an end to the handwriting of the law which was against us, taking it out of the way by nailing it to his cross;|en
86|2|15|15|既將一切執政的、掌權的擄來，明顯給眾人看，就仗著十字架誇勝。|zh
87|2|15|15|Having made himself free from the rule of authorities and powers, he put them openly to shame, glorying over them in it.|en
88|2|16|16|所以，不拘在飲食上，或節期、月朔、安息日都不可讓人論斷你們。|zh
89|2|16|16|For this reason let no man be your judge in any question of food or drink or feast days or new moons or Sabbaths:|en
90|2|17|17|這些原是後事的影兒；那形體卻是基督。|zh
91|2|17|17|For these are an image of the things which are to come; but the body is Christ's.|en
92|2|18|18|不可讓人因著故意謙虛和敬拜天使，就奪去你們的獎賞。這等人拘泥在所見過的（有古卷作：這等人窺察所沒有見過的），隨著自己的慾心，無故的自高自大，|zh
93|2|18|18|Let no man take your reward from you by consciously making little of himself and giving worship to angels; having his thoughts fixed on the things which he has seen, being foolishly lifted up in his natural mind,|en
94|2|19|19|不持定元首。全身既然靠著他，筋節得以相助聯絡，就因神大得長進。|zh
95|2|19|19|And not joined to the Head, from whom all the body, being given strength and kept together through its joins and bands, has its growth with the increase of God.|en
96|2|20|20,21 |你們若是與基督同死，脫離了世上的小學，為甚麼仍像在世俗中活著、服從那不可拿、不可嘗、不可摸等類的規條呢？|zh
97|2|20|20|If you were made free, by your death with Christ, from the rules of the world, why do you put yourselves under the authority of orders|en
98|2|21|21|Which say there may be no touching, tasting, or taking in your hands,|en
99|2|22|22|這都是照人所吩咐、所教導的。說到這一切，正用的時候就都敗壞了。|zh
100|2|22|22|(Rules which are all to come to an end with their use) after the orders and teaching of men?|en
101|2|23|23|這些規條使人徒有智慧之名，用私意崇拜，自表謙卑，苦待己身，其實在克制肉體的情慾上是毫無功效。|zh
102|2|23|23|These things seem to have a sort of wisdom in self-ordered worship and making little of oneself, and being cruel to the body, not honouring it by giving it its natural use.|en
103|3|1|1|所以，你們若真與基督一同復活，就當求在上面的事；那裡有基督坐在神的右邊。|zh
104|3|1|1|If then you have a new life with Christ, give your attention to the things of heaven, where Christ is seated at the right hand of God.|en
105|3|2|2|你們要思念上面的事，不要思念地上的事。|zh
106|3|2|2|Keep your mind on the higher things, not on the things of earth.|en
107|3|3|3|因為你們已經死了，你們的生命與基督一同藏在神裡面。|zh
108|3|3|3|For your life on earth is done, and you have a secret life with Christ in God.|en
109|3|4|4|基督是我們的生命，他顯現的時候，你們也要與他一同顯現在榮耀裡。|zh
110|3|4|4|At the coming of Christ who is our life, you will be seen with him in glory.|en
111|3|5|5|所以，要治死你們在地上的肢體，就如淫亂、污穢、邪情、惡慾，和貪婪。貪婪就與拜偶像一樣。|zh
112|3|5|5|Then put to death your bodies which are of the earth; wrong use of the flesh, unclean things, passion, evil desires and envy, which is the worship of strange gods;|en
113|3|6|6|因這些事，神的忿怒必臨到那悖逆之子。|zh
114|3|6|6|Because of which the wrath of God comes on those who go against his orders;|en
115|3|7|7|當你們在這些事中活著的時候，也曾這樣行過。|zh
116|3|7|7|Among whom you were living in the past, when you did such things.|en
117|3|8|8|但現在你們要棄絕這一切的事，以及惱恨、忿怒、惡毒（或作：陰毒）、毀謗，並口中污穢的言語。|zh
118|3|8|8|But now it is right for you to put away all these things; wrath, passion, bad feeling, curses, unclean talk;|en
119|3|9|9|不要彼此說謊；因你們已經脫去舊人和舊人的行為，|zh
120|3|9|9|Do not make false statements to one another; because you have put away the old man with all his doings,|en
121|3|10|10|穿上了新人。這新人在知識上漸漸更新，正如造他主的形像。|zh
122|3|10|10|And have put on the new man, which has become new in knowledge after the image of his maker;|en
123|3|11|11|在此並不分希利尼人、猶太人，受割禮的、未受割禮的，化外人，西古提人，為奴的、自主的，惟有基督是包括一切，又住在各人之內。|zh
124|3|11|11|Where there is no Greek or Jew, no one with circumcision or without circumcision, no division between nations, no servant or free man: but Christ is all and in all.|en
125|3|12|12|所以，你們既是神的選民，聖潔蒙愛的人，就要存（原文作穿；下同）憐憫、恩慈、謙虛、溫柔、忍耐的心。|zh
126|3|12|12|As saints of God, then, holy and dearly loved, let your behaviour be marked by pity and mercy, kind feeling, a low opinion of yourselves, gentle ways, and a power of undergoing all things;|en
127|3|13|13|倘若這人與那人有嫌隙，總要彼此包容，彼此饒恕；主怎樣饒恕了你們，你們也要怎樣饒恕人。|zh
128|3|13|13|Being gentle to one another and having forgiveness for one another, if anyone has done wrong to his brother, even as the Lord had forgiveness for you:|en
129|3|14|14|在這一切之外，要存著愛心，愛心就是聯絡全德的。|zh
130|3|14|14|And more than all, have love; the only way in which you may be completely joined together.|en
131|3|15|15|又要叫基督的平安在你們心裡作主；你們也為此蒙召，歸為一體；且要存感謝的心。|zh
132|3|15|15|And let the peace of Christ be ruling in your hearts, as it was the purpose of God for you to be one body; and give praise to God at all times.|en
133|3|16|16|當用各樣的智慧，把基督的道理豐豐富富的存在心裡，（或作：當把基督的道理豐豐富富的存在心裡，以各樣的智慧），用詩章、頌詞、靈歌，彼此教導，互相勸戒，心被恩感，歌頌神。|zh
134|3|16|16|Let the word of Christ be in you in all wealth of wisdom; teaching and helping one another with songs of praise and holy words, making melody to God with grace in your hearts.|en
135|3|17|17|無論做甚麼，或說話或行事，都要奉主耶穌的名，藉著他感謝父神。|zh
136|3|17|17|And whatever you do, in word or in act, do all in the name of the Lord Jesus, giving praise to God the Father through him.|en
137|3|18|18|你們作妻子的，當順服自己的丈夫，這在主裡面是相宜的。|zh
138|3|18|18|Wives, be under the authority of your husbands, as is right in the Lord.|en
139|3|19|19|你們作丈夫的，要愛你們的妻子，不可苦待他們。|zh
140|3|19|19|Husbands, have love for your wives, and be not bitter against them.|en
141|3|20|20|你們作兒女的，要凡事聽從父母，因為這是主所喜悅的。|zh
142|3|20|20|Children, do the orders of your fathers and mothers in all things, for this is pleasing to the Lord.|en
143|3|21|21|你們作父親的，不要惹兒女的氣，恐怕他們失了志氣。|zh
144|3|21|21|Fathers, do not be hard on your children, so that their spirit may not be broken.|en
145|3|22|22|你們作僕人的，要凡事聽從你們肉身的主人，不要只在眼前事奉，像是討人喜歡的，總要存心誠實敬畏主。|zh
146|3|22|22|Servants, in all things do the orders of your natural masters; not only when their eyes are on you, as pleasers of men, but with all your heart, fearing the Lord:|en
147|3|23|23|無論做甚麼，都要從心裡做，像是給主做的，不是給人做的，|zh
148|3|23|23|Whatever you do, do it readily, as to the Lord and not to men;|en
149|3|24|24|因你們知道從主那裡必得著基業為賞賜；你們所事奉的乃是主基督。|zh
150|3|24|24|Being certain that the Lord will give you the reward of the heritage: for you are the servants of the Lord Christ.|en
151|3|25|25|那行不義的必受不義的報應；主並不偏待人。|zh
152|3|25|25|For the wrongdoer will have punishment for the wrong he has done, without respect for any man's position.|en
153|4|1|1|你們作主人的，要公公平平的待僕人，因為知道你們也有一位主在天上。|zh
154|4|1|1|Masters, give your servants what is right and equal, conscious that you have a Master in heaven.|en
155|4|2|2|你們要恆切禱告，在此儆醒感恩。|zh
156|4|2|2|Give yourselves to prayer at all times, keeping watch with praise;|en
157|4|3|3|也要為我們禱告，求神給我們開傳道的門，能以講基督的奧祕（我為此被捆鎖），|zh
158|4|3|3|And making prayer for us, that God may give us an open door for the preaching of the word, the secret of Christ, for which I am now in chains;|en
159|4|4|4|叫我按著所該說的話將這奧祕發明出來。|zh
160|4|4|4|So that I may make it clear, as it is right for me to do.|en
